                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,,,,,,,,,,,,19,
/,Done,graphic.review,https://www.tiktok.com/@graphic.review,"31,300",,,TRUE,TRUE,TRUE,สาขา Central Pinklao13 พ.ค. 69 - 05:00,"เมนู Buttercrème แก้วละ 49.- บาทแค่ 8 วันนี้เท่านั้น ส่วน Frappe ก็เหลือแค่ 69.- คือดีมากกกก!

ใครชอบ Buttercrème Serie เหมือนกันรีบมาตามด่วนน ☕️🧈💙

เฉพาะวันที่ 18-25 พฤษภาคม 69 
ที่ ZUSS COFFEE ทุกสาขา
เฉพาะการสั่งผ่าน ZUSS APP เท่านั้นนะ! 
#ZUSCOFFEE #ZUSCOFFEETH #ดื่มZUSไม่มีทรุด #อ่านว่าซุสไม่ใช่ทรุด",https://drive.google.com/drive/folders/1nxuod2RSAB2Ku5_gSrsAhymVHrdyDLiV,"- 0.00 แก้ไข เมนูเย็นทุกเมนู ลด 49 บาท ไม่ใช่แค่ Buttercreme
- 0.07 แก้ไข เมนู เฟรปเป้ ทุกเมนู ลดเหลือ 69 บาท ไม่ใช่แค่ Buttercreme
- 0.11 เขียนผิด จาก ZUSS รบกวนแก้เป็น ZUS COFFEE","- 0.00 แก้ไข เมนูเย็นทุกเมนู ลด 49 บาท ไม่ใช่แค่ Buttercreme
- 0.07 แก้ไข เมนู เฟรปเป้ ทุกเมนู ลดเหลือ 69 บาท ไม่ใช่แค่ Buttercreme
- 0.11 เขียนผิด จาก ZUSS รบกวนแก้เป็น ZUS COFFEE",https://drive.google.com/drive/folders/1nxuod2RSAB2Ku5_gSrsAhymVHrdyDLiV,ผ่าน,ผ่าน (ฝากแคปชั่น ZUS Coffee ยังร่วมนโยบายกับสธ. ปรับระดับความหวานใหม่ หวานน้อยลงเเต่อร่อยเท่าเดิม ปรับตามสไตล์อินฟลู),"Tiktok : https://vt.tiktok.com/ZSxUP7eRV/
IG Reels : https://www.instagram.com/reel/DYmzavqSaDf/
IG Post : https://www.instagram.com/p/DYmrESgkqh9/",#gijkfvWLdDkWQT48Dsa9yazgZ7CdxAX6fy31C+Yjk/5Li7JwxBgOKe8AEkNa26k=,"1,910",170,1,2,1,772,129,0,1,0,0,KOC,22/5/69
,,miteen88,https://www.tiktok.com/@miteen88,"1,798",,,TRUE,,,สาขา Central Westgate14 พ.ค. 69 - 13:00,,,,,,,,,,,,,,,,,,,,,KOC,
/,Done,pat_inpactech,https://www.tiktok.com/@pat_inpactech,"12,800",,,TRUE,TRUE,TRUE,สาขา Central Park14 พ.ค. 69 - 11:00,"งุ้ยยย! ZUS COFFEE เค้าจัดโปรแรงเกินต้านนน ☕️✨ เริ่มต้นแค่ 49.- เองทุกคนน! รอบนี้เค้าปรับสูตรหวานน้อยลงแต่ความอร่อยยังเป๊ะเหมือนเดิมเลยนะ ใครสาย Buttercreme (บัต-เตอร์-เคริ่ม) หรือ Matcha Latte คือต้องจัด!
​ความปังนี้สั่งผ่าน ZUS App เท่านั้นนะ จะ Pickup หรือ Delivery ก็จัดไปเล้ยยย รีบด่วนก่อนหมดโปร! 💨
​📅 ตั้งแต่วันที่ 18-25 พ.ค. 69
📍 ZUS COFFEE ทุกสาขา
#ZUSCOFFEE #ZUSCOFFEETH #ดื่มZUSไม่มีทรุด #อ่านว่าซุสไม่ใช่ทรุด
",https://drive.google.com/file/d/12pKCwN9U6i3NQXHnFigqMbIUXqsygn0t/view?usp=drivesdk,,"0.12 ""อาจจะเปลี่ยนคำว่าอร่อยนัวเหมือนเดิม"" เป็นคำอื่นเพราะซ้ำกับประโยคก่อนหน้า",https://drive.google.com/file/d/1EdpazBfRJbp8XU8k8HoXqiY4MSXR0DBN/view?usp=drivesdk,ผ่าน (ตอนลงรบกวนลงเพลงแนวคาเฟ่ สไตล์อินฟลุนได้เลย),ผ่าน,"Tiktok : https://vt.tiktok.com/ZSx68pjVb/
IG Reels : https://www.instagram.com/reel/DYeh6mqzIpD/
IG Post : https://www.instagram.com/p/DYesJLOk-qj/",#gxOXmKJJyJr9g2ExlZVYHAuV2axWxgvEi4CF797hUIFZA0jL8TMghlc8A+GRlfs=,"2,303",138,5,2,2,565,21,2,0,0,0,KOC,17/5/69
/,Done,minixx_t,https://www.tiktok.com/@minixx_t,"13,600",,,TRUE,TRUE,TRUE,สาขา Little Walk กรุงเทพกรีฑา 14 พ.ค. 69 - 07:00,"เมนูเย็น 49.- และเฟรปเป้ 69.-
เฉพาะสั่งผ่าน ZUS App น้า ☕️✨
ทุกสาขาเลย ไปลองกันนน~” #ZUSCOFFEE #ZUSCOFFEETH #ดื่มZUSไม่มีทรุด #อ่านว่าซุสไม่ใช่ทรุด",https://drive.google.com/drive/folders/1tQ6qDrisawjkatat9DHmyz2D8TcoHYV9,"- 0.09 แก้ VO จาก 7 วัน เป็น 8 วันเท่านั้น
- อยากให้พูดถึง ZUS Coffee ปรับความหวานลง แต่ยังอร่อยเหมือนเดิม (พูดตามสไตล์อินฟลูได้เลย ex. เห็นเขาปรับความหวานลง แล้ว อร่อยไปอีกแบบเลย)","- 0.09 แก้ VO จาก 7 วัน เป็น 8 วันเท่านั้น
- อยากให้พูดถึง ZUS Coffee ปรับความหวานลง แต่ยังอร่อยเหมือนเดิม (พูดตามสไตล์อินฟลูได้เลย ex. เห็นเขาปรับความหวานลง แล้ว อร่อยไปอีกแบบเลย) และแปะ AW ตอนพูดถึงไปด้วย https://drive.google.com/drive/folders/1pF9VCKyRXEdMy8QZfeBtWCAvx4thuJSy",https://drive.google.com/drive/folders/1b7_zDBQisZL3ei0A6H4LwMeRlvZ6x8J2,ผ่าน,ผ่าน (ฝากแคปชั่น ZUS Coffee ยังร่วมนโยบายกับสธ. ปรับระดับความหวานใหม่ หวานน้อยลงเเต่อร่อยเท่าเดิม ปรับตามสไตล์อินฟลู),"Tiktok : https://vt.tiktok.com/ZSxmmqCm1/
IG Reels : https://www.instagram.com/reel/DYuIQFJy_KD/
IG Post : https://www.instagram.com/p/DYuIi87EkkD/",#WB9/P1vVst+Sikv/NfNmyvdfkjWpcbjYkoaCcVDX+B5Fs/GADwWBtCEYAdqnayU=,"2,500",206,29,7,10,"1,880",112,0,0,1,,KOC,23/5/69
,,sommickez,https://www.tiktok.com/@sommickez,17.4K,,,TRUE,,,สาขาบ้านก้ามปู อโศก13 พ.ค. 69 - 03:00,,,,,,,,,,,,,,,,,,,,,KOC,
,,triplemplusshop,https://www.tiktok.com/@triplemplusshop,17.8K,,,TRUE,,,สาขา Central Westgate14 พ.ค. 69 - 05:00,,,,,,,,,,,,,,,,,,,,,KOC,
/,Done,aummyjibi,https://www.tiktok.com/@aummyjibi,"30,900",,,TRUE,TRUE,TRUE,สาขายิ่งเจริญ สแควร์13 พ.ค. 69 - 07:00,"📅 โปรเฉพาะวันที่ 18-25 พ.ค. 69 เท่านั้น!

ช่วงนี้โดน ZUS Coffee ตกหนักมาก ☕️🤎  
ทุกเมนูเริ่มต้นแค่ 49.- และเมนู Frappe เพียง 69.- เท่านั้น  
Buttercreme Latte คือหอมละมุน กาแฟเข้มแต่ดื่มง่ายมาก  
แถมสูตรใหม่หวานน้อยลง ฟีลกินได้ทุกวันเลย✨  

ใครเป็นสายกาแฟหรือสายคาเฟ่
แนะนำให้รีบเข้า ZUS App ด่วน
เพราะโปรแบบนี้ไม่ได้มีบ่อยจริงๆ 👀 
#zuscoffee #zuscoffeeth #ดื่มZUSไม่มีทรุด #อ่านว่าซุสไม่ใช่ทรุด",https://drive.google.com/drive/folders/1FQEUjaYjD_9r4L-zJI1IBD4rYneRT7is,"- แก้ text เป็น 49 บาท/69 บาท
- 0.03 แก้เสียงพูดเป็น ทุกแก้วเมนูเย็น
- 0.16 เพิ่ม Text ใต้คำว่า 49.-  เพิ่มเป็น เฉพาะเมนูเย็น
- 0.24 เพิ่ม Text ใต้คำว่า 69.-  เพิ่มเป็น เฉพาะเมนูเฟรปเป้
","- แก้ text เป็น 49 บาท/69 บาท
- 0.03 แก้เสียงพูดเป็น ทุกแก้วเมนูเย็น
- 0.16 เพิ่ม Text ใต้คำว่า 49.-  เพิ่มเป็น เฉพาะเมนูเย็น
- 017 สะกดให้ถูก Buttercreme Latte
- 0.24 เพิ่ม Text ใต้คำว่า 69.-  เพิ่มเป็น เฉพาะเมนูเฟรปเป้ 

ขอเพิ่ม AW โปร 49.- ไปใน VDO ตอนพูดถึงเรื่องปรับคามหวาน https://drive.google.com/drive/folders/1pF9VCKyRXEdMy8QZfeBtWCAvx4thuJSy
",https://drive.google.com/drive/folders/1FQEUjaYjD_9r4L-zJI1IBD4rYneRT7is,,ผ่าน,"Tiktok : https://vt.tiktok.com/ZSxL9Mgv3/
IG Reels : https://www.instagram.com/reel/DYYn7oRRiUm/
IG Post : https://www.instagram.com/p/DYYoItHEae-/",#dX9XqSiP6opkC13E3BUJB+4Jw4ydr/y/GepPGoWDNEvsDU29UB8BSd/wzlywVGg=,"1,173",61,0,4,0,810,18,0,2,4,0,KOC,16/5/69
/,Done,giftounsaimoo,www.tiktok.com/@giftounsaimoo,"35,700",,,TRUE,TRUE,TRUE,สาขา Central Pinklao13 พ.ค. 69 - 05:00,โปรเด็ด 7 วัน ZUS COFFEE เหลือ 49 บาท ส่วนเมนูเฟรปเป้เหลือ 69 บาทเท่านั้นจ้า #ZUSCOFFEE #ZUSCOFFEETH #ดื่มZUSไม่มีทรุด #อ่านว่าซุสไม่ใช่ทรุด,https://drive.google.com/drive/folders/1zok6mmSTdUm8GoO83qN5xMgdCRaxyOxR,ผ่าน,เเก้จาก 7 วันเป็น 8 วันเท่านั้น,https://drive.google.com/drive/folders/1zok6mmSTdUm8GoO83qN5xMgdCRaxyOxR,,ผ่าน,"Tiktok : https://vt.tiktok.com/ZSx8yA8tm/
IG Reels : https://www.instagram.com/reel/DYXNpAqvxsU/
IG Post : https://www.instagram.com/p/DYXOVxWD7eK/",#M8qzGug//8Q+W4cTe+la+CZREVBjl987Dcu7Zpec5OjQXPvBLM9MvDwJpukQBI4=,"3,019",201,24,10,13,445,8,0,2,0,0,KOC,16/5/69
,,wilaipaireview,https://www.tiktok.com/@wilaipaireview,"12,400",,,TRUE,FALSE,FALSE,สาขาวานิช เพลส อารีย์13 พ.ค. 69 - 09:00,,,,,,,,,,,,,,,,,,,,,KOC,
/,Done,mayyyuan,https://www.tiktok.com/@mayyyuan,"9,651",,,TRUE,TRUE,TRUE,สาขา Central Westgate13 พ.ค. 69 - 07:00,"แกรีบไปกัน ได้มัทฉะพรีเมียมของร้านดัง มาในราคา 49 บ้าไปแล้ว

#อ่านว่าซุสไม่ใช่ทรุด #ZUSCOFFEE #ZUSCOFFEETH  #ดื่มZUSไม่มีทรุด ",https://drive.google.com/drive/folders/1YulyIRf4vSUyLLPQAY2jLLuQt-Y--W7D,ผ่าน (รบกวนเติมเพลงตื่นเต้นโปรโมชั่น),"ผ่าน (รบกวนเติมเพลงตื่นเต้นโปรโมชั่น)
อยากให้พูดถึง ZUS Coffee ปรับความหวานลง แต่ยังอร่อยเหมือนเดิม (พูดตามสไตล์อินฟลูได้เลย ex. เห็นเขาปรับความหวานลง แล้ว อร่อยไปอีกแบบเลย)",,,,"Tiktok : https://vt.tiktok.com/ZSx8Pncoe/
IG Reels : https://www.instagram.com/reel/DYXP_21z2KI/
IG Post : https://www.instagram.com/p/DYXRulbk7If/",#9QoMNh0MDwApw67khZzuqx4wvkd7Vhu1Y1DGKLzCslAEqGQ4xCQQKBsKnxEyr2Y=,"1,740",147,7,13,17,"1,107",27,7,2,0,0,KOC,16/5/69
,,jerryb1999,https://www.tiktok.com/@jerryb1999,"39,500",,,TRUE,FALSE,FALSE,สาขา Central Westgate13 พ.ค. 69 - 05:00,,,,,,,,,,,,,,,,,,,,,KOC,
,,reanhipp_o,https://www.tiktok.com/@reanhipp_o,48.7K,,,TRUE,FALSE,FALSE,สาขา Central Ladprao14 พ.ค. 69 - 09:00,,,,,,,,,,,,,,,,,,,,,KOC,
/,Done,foodjourneythai,https://www.tiktok.com/@foodjourneythai,"8,299",,,TRUE,TRUE,TRUE,สาขา Central Westgate13 พ.ค. 69 - 03:00,"ZUS COFFEE จัดโปรเครื่องดื่มเย็น 49.- เมนูปั่น 69.- เมื่อสั่งผ่าน ZUS App ไปจัดได้ทุกสาขา ระหว่างวันที่ 18-25 พ.ค. 69 ค่ะ 
#ZUSCOFFEE #ZUSCOFFEETH #ดื่มZUSไม่มีทรุด
#อ่านว่าซุสไม่ใช่ทรุด",https://drive.google.com/file/d/1HAOpnBp78Uwy2VxqlNcBBb2Q-yOvDofV/view?usp=drivesdk,,ผ่าน,,,,"Tiktok : https://vt.tiktok.com/ZSx8UV57d/
IG Reels : https://www.facebook.com/share/r/1BRmFyYPQY/
IG Post : https://www.instagram.com/reel/DYXOYV7yq9I/",#fvSOj4CFsmMe9/ygA8jA5F2gbyZs7anshB3lkRqnyxxiMd3mLtYDvXNbxWkTGl0=,197,9,1,0,0,158,4,0,0,0,0,KOC,16/5/69
,,magusgaa,https://www.tiktok.com/@magusgaa,"2,860",,,TRUE,FALSE,FALSE,สาขา Central Eastville14 พ.ค. 69 - 11:00,,,,,,,,,,,,,,,,,,,,,KOC,
,,@aingchuta,https://www.tiktok.com/@aingchuta,60.7K,,,TRUE,FALSE,FALSE,สาขา Central Westville13 พ.ค. 69 - 13:00,,,,,,,,,,,,,,,,,,,,,KOC,
/,Done,konraibarn,https://www.tiktok.com/@konraibarn,"4,267",,,TRUE,TRUE,TRUE,สาขา Central พระราม 914 พ.ค. 69 - 11:00,"กินตามงบ #ZUSCOFFEE #ZUSCOFFEETH #ดื่มZUSไม่มีทรุด
#อ่านว่าซุสไม่ใช่ทรุด",https://drive.google.com/file/d/1yKW6U0g1cfZpYXdkbQhjakyrGvu_T7kL/view?usp=drivesdk,ผ่าน,ผ่าน ลงวันที่ 18 May,,,,"Tiktok : https://vt.tiktok.com/ZSx2mdNp3/
IG Reels : https://www.instagram.com/reel/DYdVmp7zhYg/
IG Post :",#p5QsVP+B+/aELoYrFwCFapOl7UaWWdInq7kiINdavb+8ETK7Pqw1Wp8kCJvZEzM=,"5,958",201,5,12,9,"9,097",251,1,12,0,0,KOC,18/5/69
,,ziribkk,https://www.tiktok.com/@ziribkk,"1,749",,,TRUE,FALSE,FALSE,สาขา Central พระราม 913 พ.ค. 69 - 03:00,,,,,,,,,,,,,,,,,,,,,KOC,
,,nnonktp,https://www.tiktok.com/@nnonktp,13.6K,,,TRUE,FALSE,FALSE,สาขา Central พระราม 313 พ.ค. 69 - 07:00,,,,,,,,,,,,,,,,,,,,,KOC,
/,Done,ducky.jesse,https://www.tiktok.com/@ducky.jesse,"36,600",,,TRUE,TRUE,TRUE,สาขา Central Pinklao13 พ.ค. 69 - 03:00,"แวะมาบอกโปรที่ทุกคนห้ามพลาด! ตอนนี่ ZUS COFFEE เขาจัดโปรโมชั่นทุกแก้ว 49 บาท / 69 บาท ทุกเเก้วสำหรับเมนูเฟรปเป้ ทุกสาขา (เฉพาะการสั่ง ZUS App เท่านั้น) ตั้งแต่วันที่ 18 - 25 พ.ค. 69 
#zuscoffee #zuscoffeeth #ดื่มZUSไม่มีทรุด #อ่านว่าซุสไม่ใช่ทรุด",https://drive.google.com/drive/folders/1m79zaYrve9kRKbBsyoj8Fi_xK5erKsP5,"- 0.00 แก้ Text โปรโมชั่น 49 บาท สำหรับเมนูเย็น และ 69 บาท สำหรับเมนูเฟรปเป้ ทุกสาขา
- 0.34 - 0.46 ใช้คลิปเดิมยาวเกินไป รบกวนเปลี่ยนคลิปทุกๆ 2 วินาที ให้เกี่ยวกับคำพูด","- 0.00 แก้ Text โปรโมชั่น 49 บาท สำหรับเมนูเย็น และ 69 บาท สำหรับเมนูเฟรปเป้ ทุกสาขา
- 0.34 - 0.46 ใช้คลิปเดิมยาวเกินไป รบกวนเปลี่ยนคลิปทุกๆ 2 วินาที ให้เกี่ยวกับคำพูด""
อยากให้พูดถึง ZUS Coffee ปรับความหวานลง แต่ยังอร่อยเหมือนเดิม (พูดตามสไตล์อินฟลูได้เลย ex. เห็นเขาปรับความหวานลง แล้ว อร่อยไปอีกแบบเลย)",https://drive.google.com/file/d/1mv9w_J9X9PSR0JElqr_GRi-CROq-76My/view?usp=drivesdk,ผ่าน,ผ่าน,"Tiktok : https://vt.tiktok.com/ZSxj2hpfP/
IG Reels : https://www.instagram.com/reel/DYdmTMqBSJb/
IG Post : https://www.instagram.com/p/DYd2HcKEk8R/",#73UkLZyc0TkIhL3MrEtm2a+AZBo3aNgKxKtjgPtcIJiFHwpzyAxtPLI4FD2iOQQ=,"1,330",49,3,0,0,253,6,0,0,0,0,KOC,18/5/69
,,fifa_teera2552,https://www.tiktok.com/@fifa_teera2552,30.1K,,,TRUE,FALSE,FALSE,สาขาบ้านก้ามปู อโศก13 พ.ค. 69 - 09:00,,,,,,,,,,,,,,,,,,,,,KOC,
,,papainhaii,https://www.tiktok.com/@papainhaii,"19,900",,,TRUE,FALSE,FALSE,สาขาบ้านก้ามปู อโศก14 พ.ค. 69 - 09:00,,,,,,,,,,,,,,,,,,,,,KOC,
,cancel,miss.marie39,https://www.tiktok.com/@miss.marie39,"15,700",,,TRUE,TRUE,TRUE,สาขา Central พระราม 914 พ.ค. 69 - 13:00,,,,,,,,,,,,,,,,,,,,,KOC,
/,Done,baby.aryn66,https://www.tiktok.com/@baby.aryn66,"5,986",,,TRUE,TRUE,TRUE,สาขา Little Walk กรุงเทพกรีฑา14 พ.ค. 69 - 13:00,"ทุกคน…ช่วงนี้แอนติด ZUS Coffee มาก ☕✨  
เพราะโปรเริ่มแค่ 49.- แต่คุณภาพคือเกินราคาไปมาก

วันนี้ลอง Spanish Latte กับ Buttercreme Frappe  
คือดีทั้งคู่เลย 🤎  
Spanish Latte หอมกาแฟ นุ่ม กินง่าย  
ส่วน Buttercreme Frappe จะมีความหอมนัว ๆ ของ butter caramel ที่เข้ากันลงตัวมาก

แล้วร้าน mood ดีมากด้วย  
จะนั่งพัก ทำงาน หรือซื้อกลับก็ได้หมดเลย

ใครยังไม่เคยลอง แนะนำช่วงโปรนี้เลย คุ้มมาก ✨

#zuscoffee #zuscoffeeth #ดื่มZUSไม่มีทรุด #อ่านว่าซุสไม่ใช่ทรุด",https://drive.google.com/drive/folders/1PONfF8H6GLjevxbb8QKDu5gGnimEAUBb,,อยากให้พูดถึง ZUS Coffee ปรับความหวานลง แต่ยังอร่อยเหมือนเดิม (พูดตามสไตล์อินฟลูได้เลย ex. เห็นเขาปรับความหวานลง แล้ว อร่อยไปอีกแบบเลย),https://drive.google.com/drive/folders/1PONfF8H6GLjevxbb8QKDu5gGnimEAUBb,ผ่าน (ตอนลงรบกวนลงเพลงแนวคาเฟ่ สไตล์อินฟลุนได้เลย),ผ่าน,"Tiktok : https://vt.tiktok.com/ZSx2KAtou/
IG Reels : https://www.instagram.com/reel/DYeAjdovJpE/?igsh=MWgzOGxlYWFwd2VmaA==
IG Post : https://www.instagram.com/p/DYeA8-dn_od/?igsh=b2VmbDJuNm5wZWdp",#q7cxFMBoo/XLHOEYWIW4bMUjQnAyEMgTPWKPTUTYnIySeFsxxpEAIhdU60OZlRY=,"5,998",354,35,16,4,221,1,0,0,0,0,KOC,18/5/69
,,toeytii_su,https://www.tiktok.com/@toeytii_su,15.3K,,,TRUE,FALSE,FALSE,สาขายิ่งเจริญ สแควร์14 พ.ค. 69 - 11:00,,,,,,,,,,,,,,,,,,,,,KOC,
,,iampetch,https://www.tiktok.com/@iampetch,"1,162",,,TRUE,FALSE,FALSE,สาขา Central Ladprao14 พ.ค. 69 - 03:00,,,,,,,,,,,,,,,,,,,,,KOC,
,,nannieeii,https://www.tiktok.com/@nannieeii,"3,608",,,TRUE,FALSE,FALSE,สาขา Central Ladprao14 พ.ค. 69 - 13:00,,,,,,,,,,,,,,,,,,,,,KOC,
/,Done,goagain25,https://www.tiktok.com/@goagain25,"12,300",,,TRUE,TRUE,TRUE,สาขา Central Ladprao14 พ.ค. 69 - 11:00,ZUS COFFEE ทำถึงอีกแล้ว เมนูเย็น 49 บาท เมนูเฟรบเป้ 69 บาท แกรรร แบบนี้ต้องไปแล้ว ราคานี้ 18-25 พ.ค. นี้เท่านั้น ที่ ZUS COFFEE ทุกสาขา สั่งผ่าน SUZ APP เท่านั้นน้าาา #zuscoffee #zuscoffeeth #ดื่มZUSไม่มีทรุด #อ่านว่าซุสไม่ใช่ทรุด,https://drive.google.com/file/d/1EmoFxjQDedIjDDDmEm8TXoDd58Y3dYM6/view?usp=drivesdk,,อยากให้พูดถึง ZUS Coffee ปรับความหวานลง แต่ยังอร่อยเหมือนเดิม (พูดตามสไตล์อินฟลูได้เลย ex. เห็นเขาปรับความหวานลง แล้ว อร่อยไปอีกแบบเลย),https://drive.google.com/file/d/1ozYxxXqul1Tp5wJMLJg5zHkCRLZcLsMl/view?usp=drivesdk,ผ่าน,ผ่าน,"Tiktok : https://vt.tiktok.com/ZSxj1cAKu/
IG Reels : https://www.instagram.com/reel/DYdvXwNzFO7/
IG Post : https://www.instagram.com/reel/DYdvXwNzFO7/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==",#7UmIQkIFfZm7WtdXXIg/pe0zg+4w3dLCPgLakfMDj5V4qbWWpt/XJD7H/kjG3O8=,"2,761",112,1,2,0,297,9,0,0,0,0,KOC,18/5/69
,,gowithlove0,https://www.tiktok.com/@gowithlove0,"6,935",,,TRUE,FALSE,FALSE,สาขาวานิช เพลส อารีย์14 พ.ค. 69 - 07:00,,,,,,,,,,,,,,,,,,,,,KOC,
,,saintststt,https://www.tiktok.com/@saintststt,144.1K,,,TRUE,FALSE,FALSE,สาขา Thyme บางนา14 พ.ค. 69 - 05:00,,,,,,,,,,,,,,,,,,,,,KOC,
/,Done,juniereview,https://www.tiktok.com/@juniereview,"63,600",,,TRUE,TRUE,TRUE,สาขา Central Eastville13 พ.ค. 69 - 09:00,"8 วันเท่านั้น! Zus Coffee เหลือ 49 บาท ทุกเมนู
เมนูปั่น ทุกเมนู เหลือ 69 บาท คุ้มมากก!

สั่งผ่านช่องทาง “APP : ZUS COFFEE”
ได้ทั้ง Pickup - Delivery เลยนะะ

ระยะเวลา : 18-25 พฤษภาคม 2569 
📍ZUS Coffee ทุกสาขา
@ZUS COFFEE® Thailand

#zuscoffee #zuscoffeeth #ดื่มZUSไม่ทรุด #อ่านว่าซุสไม่ใช่ทรุด #ร้านกาแฟ",https://drive.google.com/drive/folders/1Ln6uWmX7U8URwtZ_Y09nOvbnKTDVGCLL,ผ่าน,"(แก้ไขแคปชั่น ZUS พิมพ์ใหญ่ทุกตัว)
อยากให้พูดถึง ZUS Coffee ปรับความหวานลง แต่ยังอร่อยเหมือนเดิม (พูดตามสไตล์อินฟลูได้เลย ex. เห็นเขาปรับความหวานลง แล้ว อร่อยไปอีกแบบเลย)",https://drive.google.com/drive/folders/1Ln6uWmX7U8URwtZ_Y09nOvbnKTDVGCLL,ผ่าน,ผ่าน,"Tiktok : https://vt.tiktok.com/ZSxjd3EWd/
Facebook : https://www.facebook.com/share/r/1HoYCBe9Tm/
Yotube : https://youtube.com/shorts/b2WIbjvuXEA
Lemon 8 : https://s.lemon8-app.com/s/GgThvFTdfr",#3T5mlybUoygbElhGyvF9XusuC7i/Owc6ABIs7TxKfog6poVIa1Fsj6yL9oP+IU8=,"3,993",59,32,61,81,79,7,1,0,2,0,KOC,18/5/69
,,iamprixynicetomeetyou,https://www.tiktok.com/@iamprixynicetomeetyou,50.9K,,,TRUE,FALSE,FALSE,สาขา Central Ladprao13 พ.ค. 69 - 05:00,,,,,,,,,,,,,,,,,,,,,KOC,
,,live_and_run,https://www.tiktok.com/@live_and_run,"1,258",,,TRUE,FALSE,FALSE,สาขา Central พระราม 314 พ.ค. 69 - 11:00,,,,,,,,,,,,,,,,,,,,,KOC,
,,nambabyyoda,https://www.tiktok.com/@nambabyyoda,156.3K,,,TRUE,FALSE,FALSE,สาขายิ่งเจริญ สแควร์13 พ.ค. 69 - 09:00,,,,,,,,,,,,,,,,,,,,,KOC,
,,madmeechayanid,https://www.tiktok.com/@madmeechayanid,"45,600",,,TRUE,FALSE,FALSE,สาขา Little Walk กรุงเทพกรีฑา14 พ.ค. 69 - 05:00,,,,,,,,,,,,,,,,,,,,,KOC,
,,vousbeemvoyez,https://www.tiktok.com/@vousbeemvoyez,13.3K,,,TRUE,FALSE,FALSE,สาขา Thyme บางนา13 พ.ค. 69 - 07:00,,,,,,,,,,,,,,,,,,,,,KOC,
/,Done,aummntww,https://www.tiktok.com/@aummntww,"36,400",,,TRUE,TRUE,TRUE,สาขา Central Westville13 พ.ค. 69 - 07:00,"ใครยังไม่เคยลองเมนู Buttercreme รีบด่วนเพราะตอนนี้ ZUS COFFEE จัดโปรเมนูเย็น 49.- และเมนูเฟรปเป้ 69.- 🥤

📍ZUS COFFEE ทุกสาขา
🗓️ 18-25 พ.ค. 69
  #ZUSCOFFEE #ZUSCOFFEETH #ดื่มZUSไม่มีทรุด #อ่านว่าซุสไม่ใช่ทรุด",https://drive.google.com/drive/folders/19mrfZUy7buPhVmt3zaYXccqUcz-r-XAR,,"ขอเพิ่ม AW โปร 49.- ไปใน VDO ตอนพูดถึงเรื่องปรับความหวาน https://drive.google.com/drive/folders/1pF9VCKyRXEdMy8QZfeBtWCAvx4thuJSy
",https://drive.google.com/file/d/1kbVSowWlMWCk0GQLFdreCYnvGfTDFITq/view?usp=drivesdk,ผ่าน,ผ่าน,"Tiktok : https://vt.tiktok.com/ZSx235Tnt/
IG Reels : https://www.instagram.com/reel/DYduzeLJW36/
IG Post : https://www.instagram.com/p/DYduWKTibNy/",#AGt8WDLbT6m+0qF9pGu5Pj2uqXuzRJbXmTLNdVjHAojWmx8kV9a2t+F2N7qSOJI=,"7,641",302,4,130,3,137,9,0,0,0,0,KOC,18/5/69
