                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,,,,,,,,,,,,19
23,Done,grapeess,"https://www.instagram.com/grapeess
https://www.tiktok.com/@grapeess","5,818
3,579",,,TRUE,TRUE,TRUE,"สาขา Little Walk กรุงเทพกรีฑา
29 เม.ย. 69 - 14:00","ปกติเมนูก็มีให้เลือกหลากหลายอยู่แล้วกับ ร้านกาแฟร้านโปรดของเราอย่าง “ZUS Coffee☕️” นี่เขาทำถึงแบบเอาใจผู้บริโภคมากๆทุกคน ล่าสุดออกแคมเปญเมนูพิเศษอัพเกรดความพรีเมี่ยมผ่านรสชาติเครื่องดื่ม ที่รังสรรค์มาถึง 7 เมนูด้วยกัน ภายใต้แคปเปญที่ชื่อว่า Buttercrème Series

แฟนๆZus Coffee และ คอกาแฟต้องห้ามพลาด มาลิ้มลองประสบการณ์รสชาติใหม่ๆกันค่ะ

แคมเปญเขามีตั้งแต่ 1 - 31 พฤษภาคมนี้เท่านั้น
ที่ ZUS Coffee☕️ ทุกสาขา หรือทาง Application ZUS app📲 ได้เลยค่ะ

#zuscoffee #zusscoffeeth #buttercreme ",https://drive.google.com/drive/folders/1x05KMmX-pbqhAi4PTUS_v_VXngCA93-p,"1. วินาทีที่ 0.09 - 0.17 ใช้คลิปเดิมยาวเกินรบกวนเปลี่ยนทุกทุกๆ 2-3 วินาที
2. รบกวนใส่เพลงแนวคาเฟ่สไตล์อินฟลูฯได้เลย ที่ดูตื่นเต้นกับเมนูใหม่",เเก้ไขตาม foxtells,https://drive.google.com/file/d/1-oEzwTWaEqdz3-t5f80Q5jQKlRRNf5wE/view?usp=drivesdk,ผ่าน,ผ่าน,"Tiktok : https://vt.tiktok.com/ZS9QpJSam/
IG Reels : https://www.instagram.com/reel/DX6IpvYuhrQ/
IG Post : https://www.instagram.com/p/DX6KHYGjjOz/",#xO1cyEwZnIvrhsCaZr+8vux5Dh9vPWDRHfyiQHTUtamQ5aj/Qe1EN0YDS9oWyjw=,345,21,1,1,8,636,20,0,0,0,0,
24,Done,baiiyook_,"https://www.instagram.com/baiiyook_/
https://www.tiktok.com/@boobaiiyook","10,000
21,200",,,TRUE,TRUE,TRUE,"สาขา Central Pinklao
29 เม.ย. 69 - 18:00","เมนูใหม่อร่อยมากนัวลงตัวคืออยากให้ทุกคนมาลอง!
#zuscoffee #zusscoffeeth #buttercreme ",https://drive.google.com/drive/folders/1DScy6JqH5fMTLWZQtK7bAYRdI4VhzykY,ผ่าน,ผ่าน,,,,"Tiktok : https://vt.tiktok.com/ZS9QnvNBb/
IG Reels : https://www.instagram.com/reel/DX6N2s1uxN8/
IG Post : https://www.instagram.com/p/DX6OSVSju0Y/",#7EXIEreGeEuWNttFq4Dhnv6lHnsFAfhKxJWhjAAc1LW4j+Izi15mcWRznkGS6tI=,509,29,12,5,0,"1,101",22,0,1,0,0,
25,Done,nuth_nut,"https://www.instagram.com/nuth_nut
https://www.tiktok.com/@nut_mncn","3,858
12,700",,,TRUE,TRUE,TRUE,"สาขา Central พระราม 3
29 เม.ย. 69 - 14:00","เมนูใหม่อร่อยม้ากกก ลองแล้วจะติดใจ 
ไอเลิฟ ZUS Coffee🤩💙🩵

#zuscoffee #zuscoffeeth #buttercreme",https://drive.google.com/drive/folders/16gyJdiXHaW0qKFT_78sD0lZS1fsY-vXJ,ผ่าน,ผ่าน,,,,"Tiktok : https://vt.tiktok.com/ZS97eFp1o/
IG Reels : https://www.instagram.com/reel/DYHxlZ1THQj/
IG Post : https://www.instagram.com/p/DYHxTF2E_cw/",#LBof7KCgZTx4+8v6PZleminA6zClfWWOTpHqTAgXRHdGGMzF7ZrlHnJkyqk8sJI=,146,11,0,0,0,"1,105",26,0,0,1,1,
26,Done,sunbeam.diary,https://www.tiktok.com/@sunbeam.diary,"8,107",,,TRUE,TRUE,TRUE,"สาขา Central Westgate
1 พ.ค. 69 - 13:00",เมนูใหม่ ZUS Coffee ต้องลองให้ได้เลยหล่ะ ดีมากกกกกกกก #ZUSCoffee #ZUSCoffeeTH #Buttercreme #รีวิวZUSCoffee @zuscoffee.th,https://drive.google.com/file/d/1GIvaepAWRKAAYjDU6deaz-0CKSVzdecc/view?usp=drivesdk,ผ่าน,ผ่่าน,,,,"Tiktok : https://vt.tiktok.com/ZS94CtAoQ/
IG Reels : https://www.instagram.com/reel/DX9C9VEuWGy/
IG Post : https://www.instagram.com/reel/DX9C9VEuWGy/",#8gVCItJsL5c0HxA5ZEJD/mpXkFHJgLSFBadCa18m6LWJjaHY/fy5UcX66/d4EAA=,"2,039",37,12,4,1,506,19,0,0,0,0,
27,Done,saintstst,"https://www.instagram.com/saintstst
https://www.tiktok.com/@saintststt","29,200
143,100",,,TRUE,TRUE,TRUE,"สาขา Central Park
29 เม.ย. 69 - 10:00",Buttercreme ออกใหม่ที่ @zuscoffee.th 🍵🍼🍺 #zuscoffee #zuscoffeeth #buttercreme,https://drive.google.com/drive/folders/1ru5ProyshMuFSUjvIPizFXVA2gdaUrai,ผ่าน,ผ่าน (ใส่ bgm สนุกๆ เพิ่มตอนโพสต์),,,,"Tiktok : https://vt.tiktok.com/ZS9VJAgt8/
IG Reels : https://www.instagram.com/reel/DX9UbwFz0Au/
IG Post : https://www.instagram.com/p/DX9bJkCE4Cb/",#yddfYcwG0GygdeaR//eNJdt9382SYz4ujMpP5Iwg1u792+mCzqdRwuIv8PB2gGk=,827,93,1,6,0,"1,532",30,0,2,3,0,
28,Done,juniereview,https://www.tiktok.com/@juniereview,"68,200",,,TRUE,TRUE,TRUE,"สาขา Central Eastville
28 เม.ย. 69 - 16:00","เข้าไทยแล้ว! Buttercrème Latté ของ ZUS Coffee หอม มัน นัวววว เข้มข้นแบบถูกต้องไม่หนืด!

📍ZUS Coffee ทุกสาขา

#ZUSCoffee #ButtercremeLatte #ButtercremeSeries #Buttercreme #coffee",https://drive.google.com/drive/folders/1zGeQMgBu9jD-4nFCLDwbULWiUv7Cl5x_,ผ่าน,"ขอเปลี่ยนเป็นเริ่มขายแล้วตั้งแต่วันนี้ เป็น เริ่มขายเเล้วตั้งแต่วันที่ 1 พ.ค. - 31 พ.ค. 69 เท่านั้น 
ใส่ Text ระยะเวลาการขายไปด้วยจะดีมากครับ: วันที่ 1 พ.ค. - 31 พ.ค. 69 เท่านั้น 

ขอเพิ่มภาพ Poster ของแคมเปญนี้ไปในคลิปหน่อยครับ: https://drive.google.com/drive/folders/138MntzvS0EJ1zK84-eUo3W_w634Dyaqz",https://drive.google.com/drive/folders/1zGeQMgBu9jD-4nFCLDwbULWiUv7Cl5x_,ผ่าน,ผ่าน,"Tiktok : https://vt.tiktok.com/ZS9amJus7/
IG Reels : https://youtube.com/shorts/kh5NxIncpdo
IG Post : https://www.facebook.com/share/r/1GqNEYrUgr/",#4N2xKZSw3xYIQMlBbxN7gH0pTyZdo/7MFLFleAYibnSYRL/2txRK5IMs5DPc9UY=,"3,786",275,23,14,15,48,6,2,0,0,0,
29,,milkiesz,"https://www.instagram.com/milkiesz
https://www.tiktok.com/@mmilkmili","19,600
138,400",,,TRUE,TRUE,FALSE,"สาขา Central พระราม 3
1 พ.ค. 69 - 10:00",,,,,,,,,,,,,,,,,,,,,
30,Done,nornanstory,"https://www.instagram.com/nornanstory
https://www.tiktok.com/@nornanreview","12,000
67,400",,,TRUE,TRUE,TRUE,"	สาขา Central Ladprao
1 พ.ค. 69 - 10:00",ฮีลใจวันทำงานด้วยความนุ่มฟู ☁️ กับ Buttercreme Series จาก ZUS Coffee ชอบสุดคือความ ‘บัตเตอร์-เคร็ม’ ที่ตะโกนว่าอร่อย! มีให้เลือกถึง 7 เมนู ใครสายลาเต้ มัทฉะ หรือกาแฟดำคือมีครบ กดสั่งใน App สะดวกมาก! 📲 #ZUSCoffee #ZUSCoffeeTH #Buttercreme #รีวิวZUSCoffee @zuscoffee.th,https://drive.google.com/drive/folders/17eMKY_YcgF1VeMdcE9WUsnq7prl_LBNi,ผ่าน,ผ่าน,,,,"Tiktok : https://vt.tiktok.com/ZS94gK6YX/
IG Reels : https://www.instagram.com/reel/DX9E5h5RYxS/
IG Post : https://www.instagram.com/reel/DX9E5h5RYxS/",#nq6wzlS4uVtRoD+ZxnFBlqbt5XP9I6CEqRajSMMa428ha57epDq+CQOC+bN/Am0=,"1,520",11,0,5,0,676,28,4,1,1,0,
31,Done,ma_ma1999,https://www.tiktok.com/@ma_ma1999,"22,100",,,TRUE,TRUE,TRUE,"สาขา Central Eastville
1 พ.ค. 69 - 16:00","ZUS COFFEE เขาออกเมนูใหม่ นัวร์มากก 
#ZUSCoffee #ButtercremeLatte #ButtercremeSeries #Buttercreme #coffee",https://drive.google.com/drive/folders/1X6qpNJYC53WF-RgOYhrfdjuEQmsplOm8,ผ่าน,เพิ่มเสียงพากย์ได้ไหม เสียงค่อนข้างเบา,https://drive.google.com/drive/folders/1X6qpNJYC53WF-RgOYhrfdjuEQmsplOm8,ผ่าน ตอนลงรบกวนลงเพลงตื่นเต้นๆกับเมนูใหม่ คลอๆ เบาๆไม่ให้ดังเกินเสียงพูด,เเก้ไขตาม foxtells,"Tiktok : https://vt.tiktok.com/ZS94wbhh5/
IG Reels : https://www.instagram.com/reel/DX9WWOnha1W/
IG Post : https://www.instagram.com/reel/DX9WWOnha1W/",#ZixlJbW2br6Y4lO6R9kE81Hbe3U5Ty9tRG5odSVgcfutR55HXYZF2o4K46kmK8c=,"2,147",21,5,3,2,638,8,0,0,0,0,
32,Done,grace.isgrace,"https://www.instagram.com/grace.isgrace
https://www.tiktok.com/@grace.isgrace","6,200
4,188",,,TRUE,TRUE,TRUE,"        สาขา Thyme บางนา
29 เม.ย. 69 - 12:00","เปิดตัวความนุ่มละมุนใหม่เดือนพฤษภาคม กับ Buttercreme Series จาก @zuscoffee.th ☕️✨ 
ใครที่ชอบดื่ม Latte บอกเลยว่าต้องลอง 
เพราะเค้าอัปเกรดความพรีเมียมด้วยชั้นครีมเนียนนุ่ม สัมผัสหอมมัน ปลุกความสดใสได้ทุกวันจริงๆ

เมนูแนะนำที่ต้องลอง:
🌟 Buttercreme Latte: เมนู Signature ที่ให้ฟีลเหมือนกิน Butter Cookie หอมฟุ้ง

🍵 Buttercreme Matcha: มัทฉะเข้มข้นท็อปด้วยครีมนุ่มๆ เข้ากันสุดๆ 

ไปลองกันได้ตั้งแต่วันที่ 1 - 31 พ.ค. 2569 นี้นะคะ!
#ZusCoffee 
#ButtercremeSeries 
#ZusCoffeeThailand #CoffeeLovers #อร่อยบอกต่อ",https://drive.google.com/drive/folders/1CT3752VswsJ-Vv8vmrrqKcmNt97XDJU2,"1. 0.07 /0.17 รบกวนออกเสียงว่าบัตเตอร์เคร็ม
2.. 0.20 แก้ไขจากท็อปด้วยครีม เป็น ท็อปด้วย บัตเตอร์เคร็ม
3. เพิ่ม Text : มีขายแค่วันที่ 1 พ.ค. - 31 พ.ค. 69 เท่านั้น",เเก้ไขตาม foxtells,https://drive.google.com/drive/folders/1CT3752VswsJ-Vv8vmrrqKcmNt97XDJU2,ผ่าน,ผ่าน,"Tiktok : https://vt.tiktok.com/ZS94cf6th/
IG Reels : https://www.instagram.com/reel/DX9SujzzcEG/
IG Post : https://www.instagram.com/p/DXxt8G6E4gO/",#PmPu0cMaIdrIua4FoTzIqx1TpyS5jiGeqW9QAd6FGXwjiIRgEqpom6myxj9rmEA=,404,22,4,3,16,"1,045",42,0,4,9,0,
33,Done,haendibae,"https://www.instagram.com/haendibae
https://www.tiktok.com/@haendibaee","19,500
78,700",,,TRUE,TRUE,TRUE,"สาขา Central Pinklao
1 พ.ค. 69 - 14:00","New series ของ ZUSCoffee กลับมาให้ฟินกันอีกแล้ว✨กับ Buttercream series บอกเลยว่าหอม นุ่มละมุน เหมือนกินงานศิลปะอยู่เลย🇫🇷 #ZusCoffee 
#ButtercremeSeries #ZusCoffeeThailand",https://drive.google.com/drive/folders/155wiR7goIo5-LL2xWOGm5We9OeZvDITp,1. ถ้าเรากวนเอา การเล่าเรื่องสั่งผ่านแอปไปไว้ท้ายๆคลิปแทนได้มั้ยนะค้า แล้วเอาความว้าวของการแนะนำเมนูมาขึ้นต้นๆคลิปแทน,เเก้ไขตาม foxtells / ใน caption เขียน ZUS Coffee พิมพ์ใหญ่,https://drive.google.com/drive/folders/1TAF4qBW2__JZVimfVjgJLXg_1dl3AAhX,ผ่าน,ผ่าน,"Tiktok : https://vt.tiktok.com/ZS9GBotjM/
IG Reels : https://www.instagram.com/reel/DYEBfbItb0z/
IG Post : https://www.instagram.com/p/DYEBugGmIZT/",#+2o6W8Te9rzjDEqoXJjhuR3lZ/DOWcPOnazBUQ929OrO7KqBqxWK4sJmoLr3xuI=,360,12,0,0,0,"1,110",21,0,0,0,0,
34,Done,chefleknochefyai,"https://www.instagram.com/chefleknochefyai
https://www.tiktok.com/@alek_store","422
50,500",,,TRUE,TRUE,TRUE,"สาขา Central Park
30 เม.ย. 69 - 18:00","Zus coffee ออกเมนูใหม่สุดละมุน หอมอร่อย เพิ่มความพรีเมี่ยมอีกขั้นด้วย Buttercrème
#zuscoffee #zuscoffeeth #buttercreme  @zuscoffee.th ",https://drive.google.com/drive/folders/10Rt30CFYTMEFUykdRJg_43UChdt893Fz,"1. วินาทีที่ 0.01/0.04 COFFEE ตัว E ขาดไป 1 ตัว
2. วินาทีที่ 0.16/0.26 Latte ตัว L พิมพ์ใหญ่","1. วินาทีที่ 0.01/0.04 COFFEE ตัว E ขาดไป 1 ตัว
2. วินาทีที่ 0.16/0.26 Latte ตัว L พิมพ์ใหญ่",https://drive.google.com/file/d/1bWfVCoCpxFPNu3HhTaiMw0YUZhyv8OYE/view?usp=drivesdk,ผ่าน,ผ่าน,"Tiktok : https://vt.tiktok.com/ZS9G2oPmW/
IG Reels : https://www.instagram.com/reel/DYD67lYFeNK/
Facebook : https://www.facebook.com/share/r/1BFGC1jkgr/",#CtbsFvOr0s0tME+IsvxkWzwlAa9zxG+A9oLoi108NFpHNS6qiziQ7Blvsvb1/Sc=,234,7,0,1,0,"1,697",7,0,0,0,0,
35,,difla_darlene,"https://www.instagram.com/difla_darlene
https://www.tiktok.com/@difla_darlene","10,300
2,713",,,TRUE,TRUE,FALSE,"สาขายิ่งเจริญ สแควร์
28 เม.ย. 69 - 16:00",,,,,,,,,,,,,,,,,,,,,-
36,Done,pally_proud,"https://www.instagram.com/pally_proud
https://www.tiktok.com/@pallyproud","11,300
42,400",,,TRUE,TRUE,TRUE,"สาขา Central Westgate
1 พ.ค. 69 - 14:00","ZUZ coffee ทำถึงอีกแล้ว! เปิดตัวเมนูใหม่ Buttercreme series 🧈✨
หอม นุ่ม ละมุนทุกแก้ว ฟีลเหมือนกินขนมยุโรปเลย 🥐
ส่วนตัวเลิฟ Matcha มากกก 💚
ปล. อ่านว่า บัตเตอร์เคร็ม น้าาา~ 🤭
สั่งผ่าน ZUZ App ได้เลย ทั้ง pick up / delivery สะดวกสุด!”  แคมเปญเริ่ม ตั้งแต่ 1 พค.-31 พค.2569
ไปจัดกันเลย

#zuscoffee #zuscoffeeth #buttercreme  @zuscoffee.th",https://drive.google.com/drive/folders/1G8wgAVO7IqsX7cnZpsEvILw_B4ZcT-b5,"1. 0.01 สะกดชื่อแบรนด์ผิด สะกดแบบนี้น้าค้า ZUS COFFEE ก็อปไปแปะแทนได้เลย
2. 0.01 Series เขียน S ตัวแรกพิมพ์ใหญ่
3. รบกวนเติมเพลงคลอๆ แนวตื่นเต้นๆกับเมนูใหม่
4. 0.50 ZUS APP เขียนแบบนี้ รบกวนก๊อปไปแปะได้เลย",เเก้ไขตาม foxtells,https://drive.google.com/drive/folders/1G8wgAVO7IqsX7cnZpsEvILw_B4ZcT-b5,ผ่าน,ผ่าน,"Tiktok : https://vt.tiktok.com/ZS9gxdEGJ/
IG Reels : https://www.instagram.com/reel/DYBNRVWpnxz/
IG Post : https://www.instagram.com/p/DYBOJPmCfQD/",#xdqgOLzhAMb6H2ygKPYAC0So+kaJcRNv9//8atVXrxneKhMR5uty6gZjyc67CKA=,"4,161",269,69,15,6,"2,521",149,29,3,0,0,
37,Done,pattanyatorn,https://www.tiktok.com/@pattanyatorn,"22,000",,,TRUE,TRUE,TRUE,"สาขา Central พระราม 3
4 พ.ค. 69 - 12:00","ดื่มทุกวัน ก็ฟินทุกวัน🥤
7 เมนูใหม่ที่ดื่มแล้วเริดสุดๆเลยละ กับ Buttercreme Series 🧈✨
อย่าลืมไปเติมความนัวกับเมนูใหม่ที่ ZUS COFFEE ทุกสาขานะคะ  #zuscoffee #zuscoffeeth #buttercreme  @zuscoffee.th",https://drive.google.com/file/d/1VY1XVwrGoJnUTWk1gGPhnnQQZG9fn3_Y/view?usp=drivesdk,ผ่าน (เติมเพลงคลอๆแนวตื่นเต้นกับเมนูใหม่),0.01สะกดให้ถูกต้อง Buttercreme,https://drive.google.com/file/d/1fPy-_MJI_jxNDa_0fSp-d76NbFApQtsN/view?usp=drivesdk,ผ่าน (เติมเพลงคลอๆแนวตื่นเต้นกับเมนูใหม่),ผ่่าน,"Tiktok : https://vt.tiktok.com/ZS9pvCr1D/
IG Reels : https://www.instagram.com/reel/DYBz903TyYX/
IG Post : https://www.instagram.com/p/DYB01BdE_Sh/",#55vfRd/PQWQYGh5fhWO1TtTeXc0yvzEE69vH/OE71PWjt+Cvr/EuuX83rDZsIUU=,643,29,2,1,3,410,14,0,0,0,0,
38,Done,mycookiehouse,https://www.tiktok.com/@mycookiehouse,"23,600",,,TRUE,TRUE,TRUE,"สาขา Central Westgate
4 พ.ค. 69 - 13:00","ทุกคนนน ZUS COFFEE เขาออกเมนู Buttercreme Series มาใหม่คือน่ากินมากกกกกกก 
#zuscoffee #zuscoffeeth #buttercreme  @zuscoffee.th ",https://drive.google.com/drive/folders/1OOMgGgNg1VyF0ezk7KJWIZszntH5f8-G,ผ่าน,ผ่าน,,,,"Tiktok : https://vt.tiktok.com/ZS9GnkvBx/
IG Reels : https://www.instagram.com/reel/DYESFSSxEqq/
IG Post : https://www.instagram.com/p/DYEepBqEZ-b/",#rhFRym9cd+3S4rvtpCZ/DsMp9ERGOZoioni1deoFz2pIxCgvFz9NnkMXFn6VilU=,246,12,2,2,8,561,16,0,1,1,0,
39,Done,toeytii_su,https://www.tiktok.com/@toeytii_su,"15,300",,,TRUE,TRUE,TRUE,"สาขายิ่งเจริญ สแควร์
4 พ.ค. 69 - 18:00","หอม มัน นัวร์ อร่อยแบบพรีเมียม คือเริ่ดเลยล่ะ
#zuscoffee #zuscoffeeth #buttercreme  @zuscoffee.th ",https://drive.google.com/drive/folders/1qOA4IunIQsR4oAF_IpPk_CXWc1Nw-Vuc,ผ่าน,ผ่าน,,,,"Tiktok : https://vt.tiktok.com/ZS9G7GLKM/
IG Reels : https://www.instagram.com/reel/DYEhgLuS9YS/
IG Post : https://www.facebook.com/share/r/1B5taRwLZB/",#GcA3F5hm/DSz+Q0h+VzL6kICcYN62fXUZeu7k0EThPD6trDYkCSdZnHfnoLoyiE=,213,18,2,1,2,"1,123",42,7,2,0,0,
40,Done,aingchuta,https://www.tiktok.com/@aingchuta,"61,500",,,TRUE,TRUE,TRUE,"สาขา Central Westville
4 พ.ค. 69 - 18:00",ZUS Coffee เปิดตัวเมนูใหม่ Buttercream Series ยกระดับรสชาติให้ฟินยิ่งขึ้น แฟนคลับสายหวานไม่ควรพลาด 😍 #zuscoffee #zuscoffeeth #buttercreme  @zuscoffee.th,https://drive.google.com/file/d/1ygrDqLN7p7iCXmwzE0QMQh7vGR7P7bCV/view?usp=drivesdk,ผ่าน,ใน caption สะกด Buttercreme แบบนี้,,,,"Tiktok : https://vt.tiktok.com/ZS94pfhJX/
IG Reels : https://www.instagram.com/reel/DX8-g3uyCqU/
IG Post : https://www.instagram.com/reel/DX8-g3uyCqU/",#Q4CTUkPie0NmWC+1u313/RNLK6vkY9bRpMbD0RtDDgFMaJzh4wivdYuaniKAafs=,"2,155",82,4,5,1,373,8,0,1,0,0,
41,Done,bbeembenja,https://www.tiktok.com/@bbeembenja,"23,900",,,TRUE,TRUE,TRUE,"สาขาวานิช เพลส อารีย์
4 พ.ค. 69 - 9.00","ZUS Coffee ออกเมนูใหม่! Buttercreme Series 🧈 ครีมนุ่มละมุน เลเยอร์นัวแบบตะโกน ไปจัดด่วนนน! 💨
📅 วันนี้ - 31 พ.ค. 69
#zuscoffee #zuscoffeeth #buttercreme @zuscoffee.",https://drive.google.com/drive/folders/10Jo2hRZ4sRQreKWtw8oe0TtR_tmo1ra_,ผ่าน,ผ่าน,,,,"Tiktok : https://vt.tiktok.com/ZS9v2HHYS/
IG Reels : https://www.instagram.com/reel/DYHJVhFxFg0/",#Srr65e5qZwFL2WSTBLHAXkh2OWAP8Gd4YiVEJbqg9znBpUbYByRSlH0hXsmbPQA=,162,6,0,1,1,314,1,0,1,0,0,
