                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,,1,2,3,4,,5,,,6,7,8,,9,10,11,12,13,14,15,16,,,,17,18,,,,,,,,,,,,19
19,Done,chobell,https://www.tiktok.com/@chobell,"63,000",,,,,,TRUE,,TRUE,2,"Central พระราม 9
1 ก.ค. 69 - 14.00","🥥 เติมความสดชื่นระหว่างวันกับ Coconut Matcha และ Buttercreme Coconut จาก ZUS Coffee 💚

หอมมะพร้าว นัวละมุน ดื่มง่าย ถูกใจมาก!

✨ ซื้อเครื่องดื่มครบ 150 บาท/บิล รับฟรี! เคสพร้อมยาดมมังกรทอง (ของมีจำนวนจำกัด)

📍1–31 ก.ค. ที่ ZUS Coffee ทุกสาขา หรือสั่งผ่าน ZUS App ได้เลย

#zuscoffee #zuscoffeeth#อ้วยอันโอสถ #ยาดมมังกรทอง #ยาดมอ้วยอันโอสถ

@zuscoffee.th",https://drive.google.com/drive/folders/1N79mnlVXdqZzZiKWmxSafPOrEW2CTQdb,"0.15, 0.24 - ออกเสียง บัตเตอร์-เคร็ม ค่า
0.55 - Soothe Up The Day เขียนผิดค่า","0.15, 0.24 - ออกเสียง บัตเตอร์-เคร็ม ค่า
0.55 - Soothe Up The Day เขียนผิดค่า",https://drive.google.com/file/d/1f8GQjCtmzj3uzCtWFSEHn_zBXsMSfSkH/view,ผ่าน,ผ่าน,,,,"TikTok Video: https://vt.tiktok.com/ZSX6AuHtU/
IG Reels: https://www.instagram.com/reel/DavEJBqAxmU/
IG Post: https://www.instagram.com/reel/DavEJBqAxmU/
IG Story: https://www.instagram.com/reel/DavEJBqAxmU/",Gen Code (TikTok): #1BCXcE2p7p962qyaxYAXsoMB+QtfTDX7B8ovyd1DNtZ4rdYB3n2nfDF+9XucMFU=,"6,218",133,2,0,4,173,8,0,0,0,0,
20,,withkaaaning,https://www.tiktok.com/@withkaaaning,"2,436",,,,,,TRUE,,,2,"Vanit Place อารีย์
2 ก.ค. 69 - 14.00",,,,,,,,,,,,,-,-,-,-,-,-,-,-,,-,-,
21,Done,tynpk,www.tiktok.com/@tynpk,"13,600",,,,,,TRUE,,TRUE,2,"Vanit Place อารีย์
2 ก.ค. 69 - 13.00","ใครจะคิดว่า ZUS Coffee x อ้วยอัน จะมาคอลแลบกัน💙🥥วันนี้ลอง จาก Coconut Series คือหอมมะพร้าว สดชื่นมากกก @zuscoffee.th

แถมมีโปร ซื้อเครื่องดื่มครบ 150 บาท/บิล รับฟรี เคสพร้อมยาดมมังกรทอง 1 ชิ้น✨

🗓️ : 1–31 กรกฎาคม 2569
📲 : สั่งผ่าน ZUS App ได้ทั้ง Pick Up & Delivery หรือแวะ ZUS Coffee ทุกสาขาเลย
#zuscoffee #zuscoffeeth#อ้วยอันโอสถ #ยาดมมังกรทอง #ยาดมอ้วยอันโอสถ",https://drive.google.com/drive/folders/1el42dd227aXnfz12XMmS69z1soy-QBz3,- 0.33 รบกวนเพิ่มปี เป็น 1-31 กรกฎาคม 2569,- 0.33 รบกวนเพิ่มปี เป็น 1-31 กรกฎาคม 2569,https://drive.google.com/drive/folders/1el42dd227aXnfz12XMmS69z1soy-QBz3,ผ่าน,ผ่าน,,,,"TikTok Video: https://vt.tiktok.com/ZSCvdWGwA/
IG Reels: https://www.instagram.com/reel/DafF6vozCB-/
IG Post: https://www.instagram.com/p/DafGN0nk_A-/
IG Story: https://www.instagram.com/stories/tynpkk/3935897309817306241",Gen Code (TikTok): #JkV4r/wPVGZ6SuwnkJJ8na6wvtWzN3bE9WwLVg+ze/SYvUC+XeaTFjV3GIWXets=,241,15,0,15,4,671,19,0,0,0,0,
22,Done,ji_patha,https://www.tiktok.com/@ji_patha,"24,400",,,,,,TRUE,,TRUE,2,"Central พระราม 9
1 ก.ค. 69 - 12.00","สมชื่อสูด ซูสสส์ สูตรมาก เครื่องดื่มฟินๆกับยาดมหอมๆ เรียกได้ว่าเป็นคอมโบที่จึ้งใจวัยทำงานม๊าก ใครยังไม่มีอย่าพลาด พุ่งตัวกันด่วนๆเลย เพราะของเขามีจำนวนจำกัดน้าา

#zuscoffee #zuscoffeeth#อ้วยอันโอสถ #ยาดมมังกรทอง #ยาดมอ้วยอันโอสถ",https://drive.google.com/file/d/1Kaboq72uSeEItN2PGsnTRRxDvMscFOmo/view?usp=drivesdk,"- 0.21 แก้ไขคำพูด จากคำว่า บัตเตอร์ครีม เป็น บัตเตอร์เคร็ม
- 0.21 เพิ่ม Text ชื่อเมนู
- 0.44 เพิ่มปี เป็น 1-31 กรกฎาคม 2569 หรือ 1 ก.ค. 69
- เอาช่วงที่ขึ้นวันที่กิจกรรมใส่ให้ตรงเสียงของคลิปคือ 0.46
- ขาดการพูด Key Massage เรื่อง  
> sooth up the day สูด - ซูสสส์ - สูตร - สดชื่น ไปกับ coconut series
>  แนะนำให้สั่งผ่าน ZUS App (ได้ทั้งแบบ pick up และ delivery)
> สาขาที่ร่วมโปร: ZUS Coffee ทุกสาขา","- 0.21 แก้ไขคำพูด จากคำว่า บัตเตอร์ครีม เป็น บัตเตอร์เคร็ม
- 0.21 เพิ่ม Text ชื่อเมนู
- 0.44 เพิ่มปี เป็น 1-31 กรกฎาคม 2569 หรือ 1 ก.ค. 69
- เอาช่วงที่ขึ้นวันที่กิจกรรมใส่ให้ตรงเสียงของคลิปคือ 0.46
key message ไม่เป็นไรค่ะ ดูคลิปแล้วโอเคค่ะ",https://drive.google.com/file/d/141NorlBeiVDg2UI62nSsueet5sREHxJs/view?usp=drivesdk,ผ่าน,ผ่าน,,,,"TikTok Video: https://vt.tiktok.com/ZSCvRH5VK/
IG Reels: https://www.facebook.com/share/r/1LH1FZHVWQ/
IG Post: https://www.facebook.com/share/1HEUyDjDVc/
IG Story: https://www.facebook.com/stories/3834819729901342/UzpfSVNDOjE5MjQ5NjI5MzE0OTc4MTg=/",Gen Code (TikTok): #GWdgcgoWb2Rv0EuqQv5BeTXrepbrwhXPosc6ubiNziCQVc4J/ia5viw8yLhhm0k=,193,18,0,1,2,325,8,0,0,0,0,
23,,boattnp_,https://www.tiktok.com/@boattnp_,"11,400",,,,,,TRUE,,,2,"Central พระราม 9
1 ก.ค. 69 - 13:00",,,,,,,,,,,,,-,-,-,-,-,-,-,-,,-,-,
24,,lookkade_story,https://www.tiktok.com/@lookkade_story,"16,600",,,,,,TRUE,,,2,"SCB Park Plaza
1 ก.ค. 69 - 14:00",,,,,,,,,,,,,-,-,-,-,-,-,-,-,,-,-,
25,,gatjanggg,https://www.tiktok.com/@gatjanggg,"2,325",,,,,,TRUE,,,2,"Central พระราม 9
1 ก.ค. 69 - 12:00",,,,,,,,,,,,,-,-,-,-,-,-,-,-,,-,-,
26,,mommypangg,https://www.tiktok.com/@mommypangg,"2,714",,,,,,TRUE,,,2,"Central พระราม 9
1 ก.ค. 69 - 13:00",,,,,,,,,,,,,-,-,-,-,-,-,-,-,,-,-,
27,Done,mee.490,https://www.tiktok.com/@mee.490,"9,888",,,,,,TRUE,,TRUE,2,"Central พระราม 9
1 ก.ค. 69 - 13:00",ซื้อเครื่องดื่มZUS ตอนนี้เขามีแถมยาดมนะรู้ยัง รีบไปกันด่วนนน ,https://drive.google.com/drive/folders/1F9Qwfh7SisN6GgcnrDzsKt7dtQ6btpA3,ผ่าน,ผ่าน,,,,,,,"TikTok Video: https://vt.tiktok.com/ZSCvTuPKU/
IG Reels: https://www.instagram.com/reel/DafIRsbPiu4/
IG Post: https://www.instagram.com/p/DafgIWCmbCD/
IG Story: https://www.instagram.com/stories/mm.meetur/3935899967562930809",Gen Code (TikTok): #rLUWJexG/yZfbbYc/H4JKXBAXey1hwPyU3cklHh8jYqKeyfpv6jhElhzfBKv82g=,186,7,0,1,0,977,3,0,1,0,0,
28,Done,stobcnr,https://www.tiktok.com/@stobcnr,"2,205",,,,,,TRUE,,TRUE,2,"Vanit Place อารีย์
2 ก.ค. 69 - 12:00","เพิ่งรู้ว่า ZUS ตอนนี้มีของแถม!

แค่ซื้อเครื่องดื่มครบ 150 บาทต่อบิล รับฟรีเคสพร้อมยาดมมังกรทอง ของมีจำนวนจำกัดนะ 👀",https://drive.google.com/file/d/1NZcwao8AEfXnF0jGzO0UTIee5fDFmoIM/view?usp=drivesdk,"- 0.22 Soothe up the day เขียนผิด
- 0.23 ZUS Coffee เขียนผิด
ขาดการพูดถึงระยะเวลากิจกรรม 1-31 July 2026","- 0.22 Soothe up the day เขียนผิด
- 0.23 ZUS Coffee เขียนผิด
ขาดการพูดถึงระยะเวลากิจกรรม 1-31 July 2026",https://drive.google.com/file/d/1Qdtki2To2oih-C9LmHD8CydQyAsLpUjb/view?usp=drivesdk,ผ่าน,ผ่าน,,,,"TikTok Video: https://vt.tiktok.com/ZSXaQMwmm/
IG Reels: https://www.instagram.com/reel/DazT1V4BP3B/
IG Post: https://www.instagram.com/reel/DazT1V4BP3B/
IG Story: https://www.instagram.com/reel/DazT1V4BP3B/",Gen Code (TikTok): #z1WkloTL5BAfT0oCLA4H8tLBmCIzG14/y/Onuxpbtp2qyxr9VOURFlVXQ3MXemk=,418,21,3,0,2,280,13,2,3,0,0,
29,Done,pallyproud,https://www.tiktok.com/@pallyproud,"65,300",,,,,,TRUE,,TRUE,2,"SCB Park Plaza
2 ก.ค. 69 - 17:00","ใครจะไปคิดว่า…กาแฟจะมาเจอกับ “ยาดม” ได้ลงตัวขนาดนี้! 😳✨
ZUZ COFFEE x ยาดมมังกรทอง คือคิ้วท์มากกก 
ลอง Coconut Series แล้วบอกเลยว่า “นัว หอม ละมุน”
ดื่มแล้วฟีลสดชื่นแบบ ซูสสส์~ ทั้งวัน 🤍
🎁 โปรน่ารักมาก!
ซื้อเครื่องดื่มครบ 150 บาท / 1 บิล
รับฟรี! เคส + ยาดมมังกรทอง 1 อัน
(ของมีจำนวนจำกัดน้าาา)
📲 สั่งผ่าน ZUS App ได้เลย
ทั้ง Pick up / Delivery สะดวกสุด!
🗓 วันนี้ - 31 July
📍 ZUS Coffee ทุกสาขา
#zuscoffee #zuscoffeeth
แท็ค @zuscoffee.th ส่าหรับ IG สำหรับลง IG story แท็ค @zuscoffeeth ไม่ต้องใส่ #",https://drive.google.com/drive/folders/1DNEfP6WuMh-YyN5DYvUhEUpBf9PBq8Wu,ผ่าน,ผ่าน,,,,,,,"TikTok Video: https://vt.tiktok.com/ZSCtg6xdo/
IG Reels: https://www.instagram.com/reel/DacWDB4xaBc/
IG Post: https://www.instagram.com/p/Daca_rlEegH/
IG Story: https://www.instagram.com/stories/pally_proud/3935148595213314260",Gen Code (TikTok): #Z5J8b7sLexBfB1lrgmX837EahpgQyBGWRVHNlUfSvLAoIJA4pA5YJmLPa5ytS/Y=,"4,868",97,93,13,10,"2,435",165,48,3,0,0,
30,Done,iampetch,https://www.tiktok.com/@iam_petchz,"1,162",,,,,,TRUE,,TRUE,2,"Vanit Place อารีย์
2 ก.ค. 69  - 14.00","💚 ZUS Coffee x ยาดมมังกรทอง แจกฟรีเซ็ตยาดมพร้อมปลอกเคสสุดคิวท์ ZUS Buddy!
☕️ แค่ซื้อเครื่องดื่มเมนูใดก็ได้ครบ 150.- ขึ้นไป/ใบเสร็จ รับฟรีทันทีไอเทมกู้ชีพคนทำงาน

📅 ตั้งแต่วันที่ 1 - 31 ก.ค. 2569 นี้เท่านั้น
📍 พิกัด: ZUS Coffee ทุกสาขา หรือสั่งผ่าน ZUS App (ได้ทั้งรับที่ร้านและเดลิเวอรี)

#ZUSCoffeeThailand #ZUSxยาดมมังกรทอง #ZUSBuddy #โปรดีบอกต่อ",https://drive.google.com/drive/folders/15tTd_vc9jw4Ur61cPQKncGo9F5Xi9ZKI,- 0.27 แก้ไขคำพูดจาก บัตเตอร์ครีม เป็น บัตเตอร์เคร็ม,- 0.27 แก้ไขคำพูดจาก บัตเตอร์ครีม เป็น บัตเตอร์เคร็ม,https://drive.google.com/drive/folders/1li5g3gDg92YBJh1zlhxIvDGbfoplQLAS,ผ่าน,ผ่าน,,,,"TikTok Video: https://vt.tiktok.com/ZSCTSv7x3/
IG Reels: https://www.instagram.com/reel/Dag447Cyji_/
IG Post: https://www.instagram.com/p/Dafz-ZTEpMf/
IG Story: https://www.instagram.com/stories/iam_petch6/3936587620469622568",Gen Code (TikTok): #m4vS+EqZeH+Kwy2DsXuQAlJMr1dmwSMLwBUzzS/BR8+7UzZ5CIhWaPjs0KvbjOs=,219,8,1,3,6,"1,027",3,0,2,0,0,
31,Done,iahturmos__ ,www.tiktok.com/@iahturmos__,"5,123",,,,,,TRUE,,TRUE,2,"Vanit Place อารีย์
2 ก.ค. 69 - 14.00","ตั้งใจจะประหยัดเงิน.. แต่ดันแพ้ให้ความน่ารักเฉย 😭 ก็แคมเปญ Soothe Up The Day เค้าจัดเต็มขนาดนี้ แค่สั่งเมนูไหนก็ได้ในร้านให้ครบ 150 บาทต่อบิลผ่าน ZUS App ก็รับฟรี! เคสสีฟ้าสุดชิคพร้อมยาดมมังกรทองไปเลยคุณน้า รอบนี้บอกเลยว่าต้องเอา! ด่วนเลยของมีจำนวนจำกัด 🛒✨

#zuscoffee #zuscoffeeth",https://drive.google.com/drive/folders/1ghbDs4gYKAG9eE2a4ZuQBHXulCF9chHt,"- 0.30 แก้ Text Matcha ตัวเอ็มใหญ่ และ Latte ตัว L ใหญ่
- 0.34 แก้ไขคำพูดจาก บัตเตอร์ครีม เป็น บัตเตอร์เคร็ม
- เติมเพลงคลอๆสไตล์คาเฟ่
","- 0.30 แก้ Text Matcha ตัวเอ็มใหญ่ และ Latte ตัว L ใหญ่
- 0.34 แก้ไขคำพูดจาก บัตเตอร์ครีม เป็น บัตเตอร์เคร็ม
- เติมเพลงคลอๆสไตล์คาเฟ่",https://drive.google.com/file/d/17lTHl6YoE1Hf9jeIwqA9N-ppTsDtkGZ_/view?usp=drivesdk,ผ่าน,ผ่าน,,,,"TikTok Video: https://vt.tiktok.com/ZSC38J8CB/
IG Reels: https://www.instagram.com/reel/DagzBekINpK/
IG Post: https://www.instagram.com/p/DafJi34GYYJ/
IG Story: https://www.instagram.com/stories/somruthai__/3932365901967588171",Gen Code (TikTok): #CfMauNIVCw7qG+OWoQPr0uLzGyWAAvemEHP2Zvao6Vvs3cIORgVfmEayJmQ3sko=,"1,048",25,6,1,7,"1,113",14,0,2,0,0,
32,Done,kengkyu.journey,https://www.tiktok.com/@kengkyu.journey,"5,347",,,,,,TRUE,FALSE,TRUE,2,"Central พระราม 9
2 ก.ค. 69 - 14:00","พุ่งตัวไป ZUS Coffee เซ็นทรัลพระราม 9 สั่ง Coconut Series (ครบ 150.-) รับฟรียาดมมังกรทองสุดคิวท์! 🥥🐉
รีบเลยของมีจำกัด ใครได้แล้วคอมเมนต์อวดหน่อย 👇 #zuscoffee #zuscoffeeth#อ้วยอันโอสถ #ยาดมมังกรทอง #ยาดมอ้วยอันโอสถ
@ouayun_osoth@zuscoffee.th",https://drive.google.com/file/d/13XAydPNXuEdidh-zTjbn_GL9_jcnguIw/view?usp=sharing,"- 0.30 รบกวนเพิ่มปี เป็น 1 -31 ก.ค. 69
- ขาดพูด Key Massage ดังนี้
- ขอเพิ่มชอตพูดถึงเครื่องดื่ม ชื่อเมนู และพูดถึงความอร่อยเล็กน้อย (รบกวนใส่ Text ชื่อเมนูด้วย)
> sooth up the day สูด - ซูสสส์ - สูตร - สดชื่น ไปกับ coconut series
> สาขาที่ร่วมโปร: ZUS Coffee ทุกสาขา","- 0.30 รบกวนเพิ่มปี เป็น 1 -31 ก.ค. 69
- ขาดพูด Key Massage ดังนี้
- ขอเพิ่มชอตพูดถึงเครื่องดื่ม ชื่อเมนู และพูดถึงความอร่อยเล็กน้อย (รบกวนใส่ Text ชื่อเมนูด้วย)
> sooth up the day สูด - ซูสสส์ - สูตร - สดชื่น ไปกับ coconut series
> สาขาที่ร่วมโปร: ZUS Coffee ทุกสาขา",https://drive.google.com/file/d/1dXPqWPvVm_vJYao9YUqZpwh-wY1mLZ6H/view?usp=drivesdk,ผ่าน,ผ่าน,,,,"TikTok Video: https://vt.tiktok.com/ZSCvhNLkS/
IG Reels: https://www.instagram.com/reel/DafNUScJnhS/
IG Post: https://www.instagram.com/reel/DafNUScJnhS/
IG Story: https://www.instagram.com/stories/keng_qute/3935924126023782433",Gen Code (TikTok): #2mpDNKachR1BU5TpIBMvvEYeALkK7PmLIvzEqufuzBpaizBpk7FQTaTc+mePXSQ=,"6,080",17,4,23,6,413,24,6,0,0,0,
33,,puifain33d,https://www.tiktok.com/@puifain33d,"16,400",,,,,,TRUE,FALSE,FALSE,2,"Central พระราม 9
2 ก.ค. 69 - 14:00",,,,,,,,,,,,,,,,,,,,,,,,
34,Done,katii.tii,https://www.tiktok.com/@katii.tii,"7,540",,,,,,TRUE,FALSE,TRUE,2,"Vanit Place อารีย์
2 ก.ค. 69 - 13.00","ไปตำด่วน #zuscoffee #zuscoffeeth#อ้วยอันโอสถ #ยาดมมังกรทอง #ยาดมอ้วยอันโอสถ
@ouayun_osoth@zuscoffee.th",https://drive.google.com/file/d/10vhpr84cThFd3OHZ7SzyyY9g_p3jk8H_/view?usp=drivesdk,"- 0.09/0.11  เพิ่ม Text ชื่อเมนู
- 0.11 แก้ไขคำพูดจาก บัตเตอร์ครีม เป็น บัตเตอร์เคร็ม
- 0.36 เพิ่ม Text  ""1-31 ก.ค. 2569""
","- 0.09/0.11  เพิ่ม Text ชื่อเมนู
- 0.11 แก้ไขคำพูดจาก บัตเตอร์ครีม เป็น บัตเตอร์เคร็ม
- 0.36 เพิ่ม Text  ""1-31 ก.ค. 2569""",https://drive.google.com/file/d/12p1Tqku17RVBAJFk-Xm6MnmgAsi-UD2m/view?usp=drivesdk,ผ่าน,ผ่าน,,,,"TikTok Video: https://vt.tiktok.com/ZSXjUgfW4/
IG Reels: https://www.instagram.com/reel/Dauock9ttS9/
IG Post: https://www.instagram.com/p/DauXkXdGWof/
IG Story: https://www.instagram.com/stories/katiipaka/3940191831090629048",Gen Code (TikTok): #2EzlohgD3REy113QmolRfmExB0+tM0alqeuP2C2mOkjqp+tHeP3Y60R2mdY5fyU=,574,123,5,8,15,"7,124",574,10,1,0,0,
35,Done,Napawanj,https://www.tiktok.com/@Napawanj,"141,000",,,,,,TRUE,FALSE,TRUE,2,"Central พระราม 9
1 ก.ค. 69 - 11:00","ไอเลิฟโคโคนัท และยาดม #zuscoffee #zuscoffeeth#อ้วยอันโอสถ #ยาดมมังกรทอง #ยาดมอ้วยอันโอสถ
@ouayun_osoth@zuscoffee.th",https://drive.google.com/drive/folders/1QSWPMd6dQFY3MF2CShm4T3i3xws7N9_h,ผ่าน,0.28 ช่วงที่ไม่ได้ voice over รบกวนเพิ่มเสียงอีกนิดนึงได้มั้ยคะ เสียงแอบแผ่วค่ะ,https://drive.google.com/file/d/1IxsfpRcVP9md_jIrxhIHZlp6GkKz22dr/view?usp=drivesdk,ผ่าน (เพิ่มเพลงคลอๆสไตล์คาเฟ่ตอนลง),ผ่าน (เพิ่มเพลงคลอๆสไตล์คาเฟ่ตอนลง),,,,"TikTok Video: https://vt.tiktok.com/ZSCGjA7HU/
IG Reels: https://www.instagram.com/reel/Dabn89jv21Z/
IG Post: https://www.instagram.com/p/DaSqIvbEcgr/
IG Story: https://www.instagram.com/s/aGlnaGxpZ2h0OjE4MTAyOTM2NTMwMTY0MTk3",Gen Code (TikTok): #xatRUE/KeTIR9zPLPznfiay+s3+JE4kspXWoFr+tY+b18uTEIrAJAMzwOUpihh8=,213,63,2,0,0,"15,715",135,1,1,0,0,
36,,namthipangg,https://www.tiktok.com/@namthipangg,"1,506",,,,,,TRUE,FALSE,FALSE,2,"บ้านก้ามปู (อโศก)
1 ก.ค. 69 - 13.30",,,,,,,,,,,,,,,,,,,,,,,,
37,Done,magontae,https://www.tiktok.com/@magontae,"16,600",,,,,,TRUE,FALSE,TRUE,2,"Central พระราม 9
2 ก.ค. 69 - 14:00","สูด - ซูสสส์ - สูตร - สดชื่นนนน! 🥥🐉 แคมเปญ Soothe Up The Day จาก ZUS Coffee x ยาดมมังกรทอง คือจึ้งมาก! ซื้อครบ 150.- ได้เคสพร้อมยาดมฟรีไปห้อยคอเก๋ๆ เลย ของมีจำนวนจำกัด รีบพุ่งตัวด่วน! 💨 

#zuscoffee #อ้วยอันโอสถ #ตามเต้",https://drive.google.com/file/d/1tB2_q_um2uRTTm88wTqV184Kzzg2epTV/view?usp=drivesdk,- 0.47  Text เพิ่มปี เป็น 1-31 July 26,"- 0.47  Text เพิ่มปี เป็น 1-31 July 26
- 0.47 แก้ว้อย ออกเสียง ซุสคอฟฟี่ใหัชัดเจนค่า ได้ยินเป็นซุส โคฟี่",https://drive.google.com/file/d/19nxnwIaciU7XnEBvSgRDSQDL9uR-yA7n/view?usp=drivesdk,ผ่าน,ผ่าน,,,,"TikTok Video: https://vt.tiktok.com/ZSXeATefU/
IG Reels: https://www.instagram.com/reel/Damkc0_SvcL/
IG Post: https://www.instagram.com/p/DanC3PtEq0n/
IG Story: https://www.instagram.com/stories/magontae/3938127047130523365",Gen Code (TikTok): #Adel1JQeHaxLHPscjqrixZMP6NzUU7ITRBTDaHbbbOyzC7JQX9RhweHxsc0Nh8E=,"3,002",38,23,1,1,166,4,0,0,0,0,
38,Done,ducky.jesse,https://www.tiktok.com/@ducky.jesse,"36,600",,,,,,TRUE,,TRUE,2,"Central พระราม 9
2 ก.ค. 69 - 16:00","ใครเป็นสายพกยาดมอยู่ ต้องถูกใจสิ่งนี้! เพราะที่ ZUS COFFEE ตอนนี้มีของแถมด้วยถ้าซื้อเครื่องดื่มครบ 150 บาท ต่อบิล ตั้งแต่วันที่ 1 - 31 ก.ค. 69 เท่านั้น
#zuscoffee #zuscoffeeth",https://drive.google.com/drive/folders/1eWfP1kDpJZB7_Ojy1bCaEbLJ8ghehvwG,ผ่าน,ผ่าน,,,,,,,"TikTok Video: https://vt.tiktok.com/ZSCvcjH4p/
IG Reels: https://www.instagram.com/reel/DafUHbSyah4/
IG Post: https://www.instagram.com/p/DafJRrjkpNF/
IG Story: https://www.instagram.com/stories/babyjesse.ducky/3935954887511249914",Gen Code (TikTok): #nZXts4oCcaHY4BgK4WYm/GKARg0Wl5E7fEhh8PnraW5K8maxayvwv9WvmXiwKMM=,"2,683",15,6,3,0,327,11,0,0,0,0,
