                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,,1,2,3,4,,5,,,6,7,8,9,10,11,12,13,14,15,16,17,18,,,,,,,,,,,,19
24,Done,goagain25,https://www.tiktok.com/@goagain25,"12,300","3,300",231,200,5,26,TRUE,FALSE,TRUE,"สาขาฟอร์จูน ทาวน์
28 พ.ค. 69 - 13:00","ZUS COFFEE รอบนี้ชีเสิร์ฟมาแบบใหม่แบบสับ ยกทัพซองสุ่มน้อง hippers collection ใหม่สุดน่ารักมาถึง 8 แบบ อยากได้ง่ายๆ เพียงซื้อสินค้า 80 บาท ลุ้นได้ทันที สั่งผ่าน ZUS App ตั้งแต่วันนที่ 3 - 12 มิ.ย.นี้เท่านั้น

#zuscoffee #zuscoffeeth
",https://drive.google.com/file/d/1GFRks6u4vo6XNcEmgcVR03bwq8NPzYju/view?usp=drivesdk,1. ตัดจบตอน 0.52,เพื่ม hashtag #ZUSWIP #ZUSWorkInProgress / 1. ตัดจบตอน 0.52,,,,"TikTok: https://www.tiktok.com/@goagain25/video/7646428762355158292
Facebook: https://www.facebook.com/share/r/18VCmzhXhd/
IG Reels: https://www.instagram.com/reel/DZC82uYTeBq/
IG Story: https://www.instagram.com/stories/go_again25/3919932137302911634",Facebook: fbadcode-Q_GkBQ1j4dxYAXugTU0dLgF0R8pHAiC3n1AY-Orna1u8YDP9dV-5p4jqJlNzQa4mQg,"7,349",168,2,3,9,731,13,0,0,0,0,
25,Done,minixx_t,https://www.tiktok.com/@minixx_t,"13,600","2,300",182,151,28,3,TRUE,FALSE,TRUE,"สาขาฟอร์จูน ทาวน์
27 พ.ค. 69 - 15:30","ซื้อเครื่องดื่มครบ 80 บาท/บิล ที่ ZUS ก็ได้ฟรี 1 จุ่ม ✨
ลุ้น Hippers Collection น่ารักมากกก
สั่งผ่าน ZUS App ได้ทั้ง pick up และ delivery เลย

โปรมีถึง 3–12 June ที่ ZUS Coffee ทุกสาขา รีบไปลุ้นกัน 💙

#zuscoffee #zuscoffeeth",https://drive.google.com/drive/folders/16tNLBFv2TYtnGaqMBT5j0F4FqZnC8dL5,"1. รบกวนเพิ่มเพลงดนตรีคลอๆ สนุก น่ารัก สไตล์อินฟลูฯได้เลยนะค้า
2. รบกวนตัดส่วนที่ โลโก้ Capcut เพิ่มขึ้นมาท้ายคลิป",เเก้ไขตาม comment foxtell / เพื่ม hashtag #ZUSWIP #ZUSWorkInProgress,,,,"TikTok Video: https://vt.tiktok.com/ZSQR5JUfV/
IG Reels: https://www.instagram.com/reel/DZMrVr9SSBS/
IG Post: https://www.instagram.com/p/DZMrgT7Eqpv/
IG Story: https://www.instagram.com/stories/minixx_m/3912693738568717379",TikTok Video: #Hd6vgzasjbfwnb6fBRTZOgVAWMYedzvd57vwLL0ch+lqm/JOF6xCYUIXyJwUPvs=,431,100,48,32,11,167,2,0,0,0,0,
26,Done,miteen88,https://www.tiktok.com/@miteen88,"1,798","1,376",33,29,2.5,1,TRUE,FALSE,TRUE,"สาขาบ้านก้ามปู อโศก 
3 มิ.ย. 69 - 14:00",มาซื้อกาแฟแต่ได้กล่องสุ่มเฉย แล้วคือน่ารักมากกก✨  #zuscoffee #zuscoffeeth @zuscoffee.th,https://drive.google.com/drive/folders/1CndrOrb5xjZd8fiSP6S8U7rKvouQzCB0,"0.01, 0.42, 0.44 - ZUS Coffee ตัวพิมพ์ใหญ่","0.01, 0.42, 0.44 - ZUS Coffee ตัวพิมพ์ใหญ่ 
(ใส่แคปชั่น #zuscoffee #zuscoffeeth #ZUSWIP #ZUSWorkInProgress)",https://drive.google.com/drive/folders/1CndrOrb5xjZd8fiSP6S8U7rKvouQzCB0,ผ่าน,ผ่าน,"TikTok Video: https://vt.tiktok.com/ZSQMB1yxJ/
IG Reels: https://www.instagram.com/reel/DZUNLUBAcrB/
IG Post: https://www.instagram.com/p/DZUS_7pH5SC/
IG Story: https://www.instagram.com/stories/miteen.pn_/3914847147337457293",TikTok Video: #EnILlRAchZ9ac+7boGf06hJMGV0kOD3tzQ5Na/e4Kd0NPQ848jRVWT6GBsmz9yE=,158,11,4,0,0,"5,937",150,0,2,0,0,
27,Done,saintststt,https://www.tiktok.com/@saintststt,"144,100","4,524",151,146,2,3,TRUE,FALSE,TRUE,"สาขาฟอร์จูน ทาวน์
28 พ.ค. 69 - 15:00",Zus มีกล่องสุ่มแล้ว!!🥟🍵🎁,https://drive.google.com/drive/folders/1SH9lcvpln1jQh8M07uvrRqId3EQImN6D,"ผ่าน
(เติมเพลงตอนลง + ฝากใส่แคปชั่น #ZUSWIP  #ZUSWorkInProgress)","ผ่าน
(เติมเพลงตอนลง + ฝากใส่แคปชั่น #ZUSWIP  #ZUSWorkInProgress)",,,,"TikTok Video: https://vt.tiktok.com/ZSxTTp4tA/
IG Reels: https://www.instagram.com/reel/DZFQ5n0zeaN/
IG Post: https://www.instagram.com/p/DZFR1lYk5Jb/
IG Story: https://www.instagram.com/stories/saintstst/3910606731093460024",TikTok Video: #MXZJqaJfO9z6M6PBVLiq6eMIZtyQ6M38zrmnxoqLGBrGyQcxxXMiTa3fM0xtH+M=,"2,625",107,1,2,3,"2,715",98,0,0,0,0,
28,Done,jidaaaa.a,https://www.tiktok.com/@jidaaaa.a,"151,800","1,200",95,89,3,3,TRUE,FALSE,TRUE,"สาขาฟอร์จูน ทาวน์
3 มิ.ย. 69 - 13:00","อันนี้น่ารักมากกก! ZUS Coffee เค้ามี
ซองสุ่มให้เล่นแล้วนะ & *+ แค่สั่งเครื่องดื่ม
ครบ 80 บาทต่อบิล รับฟรี! ซองสุ่ม Hippers Collection ไปเลย 1 จุ่มจุกๆ! แนะนำกดสั่งผ่าน
ZUS App เลยน้า เลือกแบบ Pick up หรือ
Delivery ก็ได้หมด สะดวกมาก @ZUS
COFFEE® Thailand @graceisgrace
ลุยด่วน 3-12 June นี้ ที่ ZUS Coffee ทุก
สาขาเลย 
#zuscoffee #zuscoffeeth
#ZUSWIP#ZUSWorkinProgress #กล่องสุ่ม",https://drive.google.com/drive/folders/1_bFSwfPdERZa35i0cVlDM5dGYw5a_gZa,"0.00 - ZUS Coffee ให้ใช้ตัวพิมพ์ใหญ่
0.58 - เพิ่ม Text ""วันนี้ - 12 มิถุนายน 2569""","1. 0.00 - ZUS Coffee ให้ใช้ตัวพิมพ์ใหญ่
2. 0.58 - เพิ่ม Text ""วันนี้ - 12 มิถุนายน 2569""
3. เหมือนมีเสียงลมตลอดคลิปค่ะ ลดเสียงลมได้มั้ยคะ",https://drive.google.com/drive/folders/1_bFSwfPdERZa35i0cVlDM5dGYw5a_gZa,ผ่าน,ผ่าน,"TikTok: https://www.tiktok.com/@jidaaaa.a/video/7649724037458955528
IG Reels : https://www.instagram.com/reel/DZuB6okP6l3/?igsh=eGk0eDIwOTR3Y2M1",-,"4,207",134,8,2,9,670,19,0,0,2,0,
29,Done,nadia_ndi,https://www.tiktok.com/@nadia_ndi,"119,600","21,115",3121,2237,12,872,TRUE,FALSE,TRUE,"สาขา Thyme บางนา 
28 พ.ค. 69 - 16:00",กินมัทฉะแต่ต้องมานั่งลุ้นน อยากเก็บครบทุกตัวเลย น้อนนน่ารักอ่า #zuscoffee #zuscoffeeth ,https://drive.google.com/file/d/1S6s7m8a9dn8v10IKKYLfWHfDYZf-zwJG/view?usp=drivesdk,"ผ่าน
(ฝากใส่แคปชั่น #ZUSWIP  #ZUSWorkInProgress)","""ผ่าน
(ฝากใส่แคปชั่น #ZUSWIP  #ZUSWorkInProgress)""",,,,"TikTok Video: https://www.tiktok.com/@nadia_ndi/video/7646431039669243157
IG Reels: https://www.instagram.com/reel/DZC-I4Bhlqu/
IG Post: https://www.instagram.com/reel/DZC-I4Bhlqu/
IG Story: https://www.instagram.com/stories/naritta_ndi/3909965576798399204",TikTok Video: #am+B5hz3szhkTWKRqelpn7VcCTSEnLYzqIDHTqlV/p2dkXXKemTvP7y7MZb6hq8=,779,26,1,1,1,"2,289",44,1,2,0,0,
30,Done,tuckiie_alynn_alan,https://www.tiktok.com/@tuckiie_alynn_alan,"12,000","3,378",186,123,25,38,TRUE,FALSE,TRUE,"สาขาบ้านก้ามปู อโศก 
3 มิ.ย. 69 - 18:00","💖 สายสะสมห้ามพลาด! Hippers Collection จาก ZUS Coffee มาแล้ว~

ฟิกเกอร์สุดคิ้วท์จาก ZUS Buddy ที่ได้แรงบันดาลใจจากโมเมนต์เล็กๆ ในการทำงาน เอาไปตกแต่งได้ทุกมุม ทั้ง laptop โทรศัพท์ หรือโต๊ะทำงาน เพิ่มความน่ารักให้วันธรรมดาได้เลย ✨

🎁 โปรพิเศษ!
ซื้อเครื่องดื่มครบ 80 บาท / ใบเสร็จ
รับฟรี! ซองสุ่ม Hippers Collection 1 ซอง (1 บิล = 1 จุ่ม)

📱 แนะนำสั่งผ่าน ZUS App
ได้ทั้ง Pick up & Delivery สะดวกสุดๆ

📍 ร่วมสนุกได้ที่ ZUS Coffee ทุกสาขา
📆 3 – 12 June นี้เท่านั้น!

ใครสายสุ่ม สายสะสม รีบเลยนะ ของน่ารักแบบนี้มีหมดไวแน่นอน 🫶

@zuscoffee.th

#zuscoffee #zuscoffeeth",https://drive.google.com/drive/folders/1eKzSpbmV2SR0nFAKGKuwPosJMNGS8Zba,"ผ่าน
(ใส่แคปชั่น #zuscoffee #zuscoffeeth #ZUSWIP #ZUSWorkInProgress)","ผ่าน
(ใส่แคปชั่น #zuscoffee #zuscoffeeth #ZUSWIP #ZUSWorkInProgress)",,,,"TikTok Video: https://vt.tiktok.com/ZSQR6W9pY/
IG Reels: https://www.instagram.com/reel/DZMhA51viYp/
IG Post: https://www.instagram.com/p/DZMg7JkD_LX/
IG Story: https://www.instagram.com/stories/alynn.alan/3912651821311573383",TikTok Video: #scczEp5akLvGIAhlQYmjJRjl062rxG/EqawELDt8TcxoY+WD1OrG+zV6z+vH8VM=,461,50,34,277,116,150,1,0,0,0,0,
31,Done,ducky.jesse,https://www.tiktok.com/@ducky.jesse,"36,600","1,126",188,180,5,3,TRUE,FALSE,TRUE,"สาขาฟอร์จูน ทาวน์ 
29 พ.ค. 69 - 17:00",มาซื้อเครื่องดื่มที่ ZUS COFFEE วันนี้ได้ซองสุ่มสุดน่ารักด้วย เพราะว่าตอนนี้ใครมาที่ร้านแล้วซื้อเครื่องดื่มครบ 80 บาทต่อบิล รับฟรี! ซองสุ่ม Hippers Collection 1 ซองไปเลย กิจกรรมนี้มีตั้งแต่วันที่ 3-12 มิถุนายนนี้เท่านั้นที่ ZUS COFFEE ทุกสาขา,https://drive.google.com/drive/folders/1Mcn_vz37TDIO7NehVLKfvA9oP8SBt4hV,"ผ่าน
(เติมเพลงตอนลง + ฝากใส่แคปชั่น #ZUSWIP  #ZUSWorkInProgress)","พากย์เสียงสาขาใหม่: ไทม์บางนา 0.33 /
(เติมเพลงตอนลง + ฝากใส่แคปชั่น #ZUSWIP  #ZUSWorkInProgress)""",https://drive.google.com/file/d/1wldXNed-iU5fuyiXpSVI7pRteI-nOuVH/view?usp=drivesdk,-,"ผ่าน
(เติมเพลงตอนลง + ฝากใส่แคปชั่น #ZUSWIP  #ZUSWorkInProgress)""","TikTok Video: https://vt.tiktok.com/ZSQJWd82D/
IG Reels: https://www.instagram.com/reel/DZKVzRUyqzn/
IG Post: https://www.instagram.com/p/DZJ-w2NknT0/
IG Story: https://www.instagram.com/stories/babyjesse.ducky/3912038065737192021",TikTok Video: #l4sodamcq0w+9KTRX1rVgn+6fACorV35jFSLfGh4ATjBSlLv6ClWzJAQlOXZQP8=,"1,206",76,5,2,2,305,9,0,0,0,0,
32,,sommickez,https://www.tiktok.com/@sommickez,"17,400","1,759",13,11,1,1,TRUE,FALSE,,"สาขาบ้านก้ามปู อโศก 
3 มิ.ย. 69 - 12:00",,,,,,,,,,,,,,,,,,,,,
33,Done,iampetch,https://www.tiktok.com/@iam_petchz,"1,162",535,34,24,2,8,TRUE,FALSE,TRUE,"สาขาวานิช เพลส อารีย์ 
3 มิ.ย. 69 - 12:00","🎁 แค่มาซื้อกาแฟ แต่ได้ลุ้นกล่องสุ่มกลับบ้านด้วย!

ช่วงนี้ ZUS Coffee มีกิจกรรมเอาใจสายสะสม 🧸✨ เพียงซื้อเครื่องดื่มครบ 80 บาทต่อบิล รับฟรี ZUS Buddy Hippers Collection 1 ซองสุ่มทันที

📍ร่วมรายการที่ ZUS Coffee ทุกสาขา 📅 ตั้งแต่วันนี้ - 12 มิถุนายน 2569

#zuscoffee #zuscoffeeth #BuddyHippers #Hippers #กล่องสุ่ม ",https://drive.google.com/drive/folders/1mkw2GA5EnzRzuUv03yRGm3LnIZBpz14I,"0.40 - ตัดที่พูดว่าตัว secret ออก เปลี่ยนเป็นพูดชื่อตัวแทน เช่น เซ็นชา

(เติมเพลงตอนลง + ฝากใส่แคปชั่น #ZUSWIP  #ZUSWorkInProgress)","1. 0.06 วานิช เพลซ อารีย์
0.40 - ตัดที่พูดว่าตัว secret ออก เปลี่ยนเป็นพูดชื่อตัวแทน เช่น เซ็นฉะ
(เติมเพลงตอนลง + ฝากใส่แคปชั่น #ZUSWIP  #ZUSWorkInProgress)",https://drive.google.com/file/d/1DZhMNs0AzrAiietifkNUm4LCqEu7Ef1r/view?usp=drivesdk,"ผ่าน
(ใส่แคปชั่น #zuscoffee #zuscoffeeth #ZUSWIP #ZUSWorkInProgress)","ผ่าน
(ใส่แคปชั่น #zuscoffee #zuscoffeeth #ZUSWIP #ZUSWorkInProgress)","TikTok Video: https://vt.tiktok.com/ZSQF9X5K1/
IG Reels: https://www.instagram.com/reel/DZPrqGUy6hb/
IG Post: https://www.instagram.com/p/DZP1VEdks20/
IG Story: https://www.instagram.com/stories/iam_petch6/3913598938661783865",TikTok Video: #YUDvF8yvPv7DtgPVzGyE7fOcR+GzUiQYPR1Rv7agj0xAgsE+dgwdjKzb+Pu8lIY=,458,11,0,5,8,885,13,0,3,0,0,
34,,sai.chill_,https://www.tiktok.com/@sai.chill_,"3,483","1,231",29,24,1,4,TRUE,FALSE,,- -,,,,,,,,,,,,,,,,,,,,,
35,Done,gowithlove0,https://www.tiktok.com/@gowithlove0,"6,935",873,62,39,19,4,TRUE,FALSE,TRUE,"สาขาวานิช เพลส อารีย์ 
3 มิ.ย. 69 - 14:00","ซื้อเครื่องดื่มครบ 80 บาทต่อบิล รับฟรี ZUS Hippers Collection 1 กล่อง 🎁💙

ร่วมกิจกรรมได้ที่ ZUS Coffee ทุกสาขา ตั้งแต่ 3 - 12 มิถุนายนนี้ สั่งผ่าน ZUS App ได้ทั้ง Pick Up และ Delivery รีบไปลุ้นกันน้า ✨

#zuscoffee #zuscoffeeth ",https://drive.google.com/drive/folders/1vP8yfVzacNjZl2P8FNk5l9Mbd96kyKl5,"ผ่าน
(เติมเพลงตอนลง + ฝากใส่แคปชั่น #ZUSWIP  #ZUSWorkInProgress)","ผ่าน
(เติมเพลงตอนลง + ฝากใส่แคปชั่น #ZUSWIP  #ZUSWorkInProgress)",,,,"TikTok Video: https://vt.tiktok.com/ZSQRYLGA4/
IG Reels: https://www.instagram.com/reel/DZMeUwhTwCj/
IG Post: https://www.instagram.com/p/DZMeSGiE9Oc/
IG Story: https://www.instagram.com/p/DZMeSGiE9Oc/","TikTok Video: #PoByYbBcb7BCElhZmtc+hpjokqnj43AH2VA9VBLNW6HjafP4sRqQUOaFFdD2LW8=
Facebook: fbadcode-Q_GkBQ2XDH3aAO0-pWrduvKHdA5uX1MZro_v5IhQUS1qcSdznQ_aiIwoFkVyuS-aEA",210,15,4,0,1,228,6,0,2,0,0,
36,Done,pallyproud,https://www.tiktok.com/@pallyproud,"60,600","15,072",388,309,68,11,TRUE,FALSE,TRUE,"สาขา SCB Park Plaza
4 มิ.ย. 69 - 18:00","🎉 จุ่มได้แล้ววันนี้! 
ZUS Buddy Hippers Collection 💙 ฟิกเกอร์สะสมสุดน่ารักที่พร้อมไปเกาะทุกโมเมนต์ของคุณ ✨

🗓️ 3 -12 มิ.ย. 69 เท่านั้น
📍 ที่ ZUS Coffee ทุกสาขา

-เพียงสั่งเครื่องดื่มครบ 80.- ต่อ 1 บิล รับสุ่ม ZUS Buddy Hippers 1 ชิ้นทันที! 🎁
-ผ่าน ZUS App (Pick-up / Delivery)

มี 8 คาแรกเตอร์ให้จุ่ม ใครได้ตัวไหนอย่าลืมมาอวดกันน๊า
 #zuscoffee #zuscoffeeth @zuscoffee.th",https://drive.google.com/drive/folders/1RpvCqyGnYJxlO8uJxV1g1NsBB3P8H8Yv,"ผ่าน
(ใส่แคปชั่น #zuscoffee #zuscoffeeth #ZUSWIP #ZUSWorkInProgress)","ผ่าน
(ใส่แคปชั่น #zuscoffee #zuscoffeeth #ZUSWIP #ZUSWorkInProgress)",,,,"TikTok Video: https://vt.tiktok.com/ZSQNGtN2P/
IG Reels: https://www.instagram.com/reel/DZPV_w7R-S8/
IG Post: https://www.instagram.com/p/DZPNHTfkcCZ/
IG Story: https://www.instagram.com/stories/pally_proud/3913415168030246638","TikTok Video: #YITNlExlnS4WQL6n8czU8C+EiDhKWMMhUfZMKhv0gXqCVXTElwF76llMIAPoERw=
Facebook: fbadcode-Q_GkBQ1TRIW3WCN5G_8JFQXbzoL_RW6vhfnYk4O3vwcgGk1DiIABqa3JaowiXqrCumE","3,642",197,53,10,1,"3,315",158,29,4,0,0,
37,,nannieeii,https://www.tiktok.com/@nannieeii,"3,608","1,262",20,15,2,3,TRUE,FALSE,,- -,,,,,,,,,,,,,,,,,,,,,
38,Done,giftounsaimoo,www.tiktok.com/@giftounsaimoo,"35,700","1,049",112,84,22,6,TRUE,FALSE,TRUE,"สาขาฟอร์จูน ทาวน์
28 พ.ค. 69 - 09:30",#zuscoffee #zuscoffeeth,https://drive.google.com/drive/folders/1L7uN0QrJ71lYUKi8sXLtZS_S3BxTz1Qj,"0.34 - เพิ่ม Text ""ตั้งแต่ 3-12 มิ.ย. เท่านั้น""","0.34 - เพิ่ม Text ""ตั้งแต่ 3-12 มิ.ย. เท่านั้น""
ใส่แคปชั่น #ZUSWIP #ZUSWorkInProgress",https://drive.google.com/drive/folders/1L7uN0QrJ71lYUKi8sXLtZS_S3BxTz1Qj,"ผ่าน
(ใส่แคปชั่น #ZUSWIP #ZUSWorkInProgress)","""ผ่าน
(ใส่แคปชั่น #ZUSWIP #ZUSWorkInProgress)""","TikTok Video: https://vt.tiktok.com/ZSx3wLTBq/
IG Reels: https://www.instagram.com/reel/DZEcJgNvU9I/
IG Post: https://www.instagram.com/p/DZEdyAej4VA/
IG Story: https://www.instagram.com/s/aGlnaGxpZ2h0OjE4MDkxOTYwMDEzMjIzNDIy","TikTok Video: #Hk582g6Emyu4Y09eau1XWWNHES8+zdIjgp8FywfxAl5UwH9dVguQuR3oDATO/bM=
Facebook: fbadcode-Q_GkBQ0pKNHRSd1TBhextoTGbgrPQbPgJp3n6MwfRCVxoIc7G8fzhrg3MTG5ILB_Rbg","11,100",255,32,26,82,"2,817",19,0,0,0,0,
39,Done,graphic.review,https://www.tiktok.com/@graphic.review,"31,500",126,38,36,1,1,TRUE,FALSE,TRUE,"สาขาฟอร์จูน ทาวน์ 
27 พ.ค. 69 - 17:00",จะไปซื้อกาแฟแต่ได้จุ่ม!!!! เฮ้ย น่ารักเกินมาก รอบนี้ซีเคร็ตไม่แตก แต่รอบหน้าเจอแน่ ใครสายจุ่มรีบมาด่วนเลย! ,https://drive.google.com/drive/folders/1k6kzRX41rJrxqo8VgQkpO6etnjgFbMP2,"ผ่าน
(ฝากใส่แคปชั่น #ZUSWIP  #ZUSWorkInProgress)","ผ่าน
(ฝากใส่แคปชั่น #ZUSWIP  #ZUSWorkInProgress)",,,,"TikTok Video: https://vt.tiktok.com/ZSQ1gPXnV/
IG Reels: https://www.instagram.com/reel/DZE9ORFy722/
IG Post: https://www.instagram.com/p/DZE_19eErgy/
IG Story: https://www.instagram.com/stories/arpowang/3911825410535041910",TikTok Video: #EEDA9HOK52m1+mHE8vXH+W0MeUbbmfZkSnENoI3fZ7yIOZZBfdr24to8Tn/M/Ow=,"1,100",124,1,4,6,"1,045",30,0,3,0,0,
40,Done,haendibaee,https://www.tiktok.com/@haendibaee,"79,000","1,124",29,26,1,2,TRUE,FALSE,TRUE,"สาขา Central พระราม 9
3 มิ.ย. 69 - 12:00",ZUS COFFEE มีกล่องจุ่มแล้วน่ารักมากกก!!💙💙 แค่ซื้อครบ 80 บาทเมนูใดก็ได้ รับฟรี Zus Buddy Hippers,https://drive.google.com/drive/folders/155wiR7goIo5-LL2xWOGm5We9OeZvDITp,0.06 - Hippers เขียนผิดค่า,"0.06 - Hippers เขียนผิดค่า
0.14 คาราเมนซี่ ปั่น คืออะไรนะคะ ??
0.29 - แก้ว้อยซ์ ""ช้อคโก้ชิปส์เตอร์""",https://drive.google.com/drive/folders/1-qDFSd_Mk6jGMOATOf9Jg2LwDlZF42Hy,ผ่าน,"ผ่าน
(ใส่แคปชั่น  #ZUSWIP #ZUSWorkInProgress)","TikTok Video: https://vt.tiktok.com/ZSQyykP2e/
IG Reels: https://www.instagram.com/reel/DZb7thVJVvv/
IG Post: https://www.instagram.com/p/DZb8TrRmIri/
IG Story: https://www.instagram.com/p/DZb8TrRmIri/",TikTok Video: #ZD+/aK0cOJHmGy6931tLpS2mzvk4N5sLfGURRqU63QvztrcxpTr8Qh2ZTRVSPP0=,367,17,0,0,0,724,11,0,0,0,0,
41,,mean.tita,https://www.tiktok.com/@mean.tita,"11,300",214,23,22,0,1,TRUE,FALSE,,"สาขา Central พระราม 9 
4 มิ.ย. 69 - 18:00",,,,,,,,,,,,,,,,,,,,,
42,Done,ploy.yollada,https://www.tiktok.com/@ploy.yollada,"17,100","1,396",44,36,1,7,TRUE,FALSE,TRUE,"สาขา SCB Park Plaza 
3 มิ.ย. 69 - 14:00","ลุ้นความน่ารักไปกับ Hippers Collection จาก ZUS Coffee ☕💙

ซื้อเครื่องดื่มครบ 80.- รับ 1 จุ่มทันที! 
มาลุ้นรับคาแรกเตอร์สุดคิวต์แบบสุ่มไปด้วยกันนะคะ 🫶🏻✨

🗓️ 3-12 มิ.ย. 69 นี้เท่านั้น 
📍 ZUS Coffee ทุกสาขา",https://drive.google.com/file/d/1LtnKvoqxCz7gPV0Ymtlqr3PBxCcF3mSR/view?usp=drivesdk,"ผ่าน

(เติมเพลงตอนลง + ใส่แคปชั่น #zuscoffee #zuscoffeeth #ZUSWIP #ZUSWorkInProgress)","ผ่าน

(เติมเพลงตอนลง + ใส่แคปชั่น #zuscoffee #zuscoffeeth #ZUSWIP #ZUSWorkInProgress)",,,,"TikTok Video: https://vt.tiktok.com/ZSQrMWkGP/
IG Reels: https://www.facebook.com/share/r/1DFvA1PRPB/
IG Post: https://www.instagram.com/reel/DZVAUNCzZTq/
IG Story: https://www.instagram.com/stories/ploy.yollada/3915023615758943453","TikTok Video: #YotBAJpoizf5N9bbW+qAYg4XlyuL8l419KypsxDWBYMDdK0nml9Cqdpu6Oh9BJA=
Facebook: fbadcode-Q_GkBQ0Rr1HsVM2kAkAhinTBPWGMjcPsltQ90VP2DQKzRBwszXroZ4ETXNO7b4BebAA",805,20,0,3,1,472,0,0,0,0,0,
43,Done,iamyuuminn,https://www.tiktok.com/@iamyuuminn,"11,200",641,29,21,3,5,TRUE,FALSE,TRUE,"สาขา Central พระราม 9
3 มิ.ย. 69",สรุปไม่ได้มากินกาแฟ #iamyuumin #zuscoffee #zuscoffeeth #ร้านกาแฟใกล้ฉัน #น่ารัก,https://drive.google.com/drive/folders/1bI_zueJGzNCy05Zb0_2MzMRO97HD7z0Q,"0.33 - อินฟลูออกเสียงผิด เฟรปเป้ เฟรน แต่ถ้าพากย์ใหม่อาจจะไม่ธรรมชาติ อันนี้ให้ทางแบรนด์คอนเฟิร์มอีกที
(ฝากใส่แคปชั่น #ZUSWIP  #ZUSWorkInProgress)",อาจจะใส่ในแคปชั่นหรือคอมเม้นค่ะ ว่าอ่านว่าเฟรปเป้เฟรน,,,,"TikTok Video: https://vt.tiktok.com/ZSQRtSeXP/
IG Reels: https://www.instagram.com/reel/DZM0kz5MIfB/
IG Post: https://www.instagram.com/p/DZJxOdXEdrQ/
IG Story: https://www.instagram.com/p/DZJxOdXEdrQ/","TikTok Video: #9urMBm1rxRKA8njf9mjyE0oEdy8IDUHL85MwY/3lI1MlgDDbPcKk2uaJ8trw+m4=
Facebook: fbadcode-Q_GkBQ0iqDExcNu9moUpen_2myIVKlbf1WjgD8uXxpjrn82iQTDuwCxDj8pqtB9AnQ",391,11,0,4,0,816,52,1,3,0,0,
44,Done,grace.isgrace,https://www.tiktok.com/@grace.isgrace,"3,353","1,537",44,28,5,11,TRUE,FALSE,TRUE,"สาขา Thyme บางนา 
29 พ.ค. 69 - 12:00","ทุกคนนน อันนี้น่ารักมากกก! ZUS Coffee เค้ามีซองสุ่มให้เล่นแล้วนะ ☕️✨ แค่สั่งเครื่องดื่มครบ 80 บาทต่อบิล รับฟรี! ซองสุ่ม Hippers Collection ไปเลย 1 จุ่มจุกๆ! แนะนำกดสั่งผ่าน ZUS App เลยน้า เลือกแบบ Pick up หรือ Delivery ก็ได้หมด สะดวกมาก

🗓️ ลุยด่วน 3-12 June นี้ ที่ ZUS Coffee ทุกสาขาจ้า
#zuscoffee #zuscoffeeth",https://drive.google.com/drive/folders/1IA9S3364Uoz8fzyVTTVwx6LTIwkMZDgn?usp=sharing,"ผ่าน
(เติมเพลงตอนลง + ใส่แคปชั่น #ZUSWIP #ZUSWorkInProgress)","""ผ่าน
(เติมเพลงตอนลง + ใส่แคปชั่น #ZUSWIP #ZUSWorkInProgress)""",,,,"TikTok Video: https://vt.tiktok.com/ZSxTW6WSK/
IG Reels: https://www.instagram.com/reel/DZD7CmxzmEq/
IG Post: https://www.instagram.com/p/DZFMHX3mjpA/
IG Story: https://www.instagram.com/stories/grace.isgrace/3910357581273147858",TikTok Video: #lZKJCUNyyxHJGuvX0HBL2XK1VR4qj+EgvBOcDruZwsfGYgUBnmy4o/hCnvBjFBU=,"1,911",29,7,3,22,"1,810",49,6,6,0,0,
45,Done,toeytii_su,https://www.tiktok.com/@toeytii_su,"15,300",383,32,25,4,3,TRUE,FALSE,TRUE,"สาขาฟอร์จูน ทาวน์ 
28 พ.ค. 69 - 18:30",กาแฟอร่อยแถมกล่องจุ่มยังน่ารักอีก จะจัดให้ครบทุกตัวเลย💖,https://drive.google.com/file/d/1Qllr6-BbaYwURGbf459jx5wNRD2uiRwk/view?usp=drivesdk,"ผ่าน
(เติมเพลงตอนลง + ฝากใส่แคปชั่น #ZUSWIP  #ZUSWorkInProgress)",0.14 โปรดเปลี่ยนรูปเป็นตามบรีฟ + (เติมเพลงตอนลง + ฝากใส่แคปชั่น #ZUSWIP  #ZUSWorkInProgress),,,,"TikTok: https://vt.tiktok.com/ZSQemSMe5/
Facebook: https://www.facebook.com/share/r/1LQsGPPjiR/
Reels: https://www.instagram.com/reel/DZFxC80Sa_C/
Story: https://www.instagram.com/stories/baitoey_su/3912566294302557718","TikTok: #1MjiahWOIqVOgRernlX7NHdKi7c1dKNNC4dnRww7Zi4Urh2E2G+iDQSurbV4Nws=
Facebook: fbadcode-Q_GkBQ0_o-RQNR2NoyOOGDzV5oI-4BEpL2Jk2ljtcmhN6knd8UOpnAJrk6rLhmq9xCg",564,23,0,1,0,"1,157",38,1,0,0,0,
