                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,,1,2,3,4,,5,,,6,7,8,9,10,11,12,13,14,15,16,,,,17,18,,,,,,,,,,,,19
26,Done,minixx_t,https://www.tiktok.com/@minixx_t,"13,600","13,600",2479,2300,151,28,TRUE,FALSE,TRUE,"สาขา Central พระราม 9
9 มิ.ย. 69 - 15:00","ใครอยากร่วมลุ้น แนะนำสั่งผ่าน ZUS App ได้เลย สะดวกทั้ง Pick Up และ Delivery

📍ร่วมรายการที่ ZUS Coffee ทุกสาขา
📅 13–21 June เท่านั้น

จำให้แม่นนะ 150 บาทต่อบิล = ฟรี 1 จุ่ม
 @zuscoffee.th #zuscoffee #zuscoffeeth #ZUSWIP #ZUSWorkInProgress",https://drive.google.com/drive/folders/1z1naoHgkLWC52ULXwjRA-V5uJlKJbBWM,- 0.12 เขียนปี 26 เป็น 13 - 21 June 26,- 0.12 เขียนปี 26 เป็น 13 - 21 June 26,https://drive.google.com/file/d/1ZGS-NNPmKIHT4RZopY08HrkT7h9Hj4Ly/view?usp=drivesdk,ผ่าน,ผ่าน,,,,"TikTok Video: https://vt.tiktok.com/ZSQWaj5aR/
IG Reels: https://www.instagram.com/reel/DZunQoFyXbo/
IG Post: https://www.instagram.com/p/DZunelbkovf/",#Ljs/50dMrgsoESLBPApbfddyq2jfN55sewK7ujEv+EgMVw8mnxskJERs/+ydDdE=,"3,593",201,51,182,7,95,1,0,0,0,0,
27,Done,miteen88,https://www.tiktok.com/@miteen88,"1,798","1,798",1408,1376,29,2.5,TRUE,FALSE,TRUE,"สาขาบ้านก้ามปู อโศก
13 มิ.ย. 69 - 16:00","แค่ซื้อกาแฟก็ได้กล่องสุ่มน่ารักๆแล้ว ไม่ซื้อจะไหวหรอ  #zuscoffee #zuscoffeeth #ZUSWIP #ZUSWorkInProgress
 @zuscoffee.th",https://drive.google.com/drive/folders/1CDE83hKIWbG47rKNr4URc2eSjC3r-JZp,,- เพิมระยะเวลาโปรโฒชั่นหน่อยค่ะ,https://drive.google.com/drive/folders/1CDE83hKIWbG47rKNr4URc2eSjC3r-JZp,,ผ่าน,,,,"TikTok Video: https://vt.tiktok.com/ZSQtjr1jm/
IG Reels: https://www.instagram.com/reel/DZsBCmMg22o/
IG Post: https://www.instagram.com/p/DZt0NsFH7jO/",#0QMnhj94rXSY94TdrTyokhsfvIYsTo661gfIJuCWEI58n5wFq3RNWvvMdqQ8Atw=,188,9,1,0,0,461,17,3,0,0,0,
28,,saintststt,https://www.tiktok.com/@saintststt,"144,100","144,100",4672,4524,146,2,TRUE,FALSE,,- -,,,,,,,,,,,-,-,,,,,,,,,,,,
29,Done,jidaaaa.a,https://www.tiktok.com/@jidaaaa.a,"151,800","151,800",1292,1200,89,3,TRUE,FALSE,TRUE,"สาขา Central พระราม 9
9 มิ.ย. 69 - 18:00","เปิดกล่องสุ่มเพราะอยากได้ 1 ตัว… สรุปอยากได้ครบทั้งคอล 😂💙

Work in Progress Collection จาก ZUS Coffee น่ารักเกินต้าน! แต่ละตัวได้แรงบันดาลใจจากโมเมนต์ระหว่างวัน ทั้งตอนทำงาน พักเบรก หรือช่วงใจฟู ๆ ที่ทำให้วันธรรมดาสนุกขึ้น ✨

ซื้อครบ 150 บาทต่อบิล รับฟรี! กล่องสุ่ม WIP Collection 1 กล่อง แล้วมาลุ้นกันว่าจะได้ตัวไหน หรือจะดวงดีเจอ Secret Character 👀

📍 ร่วมกิจกรรมได้ที่ ZUS Coffee ทุกสาขา
📅 13 – 21 มิถุนายน 2569
📲 สั่งผ่าน ZUS App ได้ทั้ง Pick Up และ Delivery

#zuscoffee #zuscoffeeth #ZUSWIP #ZUSWorkInProgress",https://drive.google.com/drive/folders/1ns56U-x0Zoi2olfObUgUQp8-23jSFbaR,"- 0.03 แก้ไขคำผิดจาก ZUZ COFFEE เป็น ZUS COFFEE
- ขาดการเล่าถึงเครื่องดื่มเล็กน้อย ว่าสั่งเมนูอะไร อร่อยยังไง","- 0.03 แก้ไขคำผิดจาก ZUZ COFFEE เป็น ZUS COFFEE
- ขาดการเล่าถึงเครื่องดื่มเล็กน้อย ว่าสั่งเมนูอะไร อร่อยยังไง",https://drive.google.com/drive/folders/1ns56U-x0Zoi2olfObUgUQp8-23jSFbaR,ผ่าน,ผ่าน,,,,"TikTok Video : https://vt.tiktok.com/ZSQwQUPBM/
IG Reels : https://www.instagram.com/reel/DZ3xBhIPgyW/",#xW8/W8ygVoFvZWhSPvwNsCNo3Ozx9mvF33joXccallZfP3vdEuvgh338CHkaZQU=,"6,362",19,4,2,5,667,19,5,0,0,0,
30,Done,hajoon_nw,https://www.tiktok.com/@hajoon_nw,"1,519",643,43,37,4.6,1,TRUE,FALSE,TRUE,"สาขา Central พระราม 9
14 มิ.ย. 69 - 13:00","จากแค่มาซื้อกาแฟ ☕️ กลายเป็นมาลุ้นกล่องสุ่มแทน! 🤩💙

ZUS Coffee แจกฟรี! กล่องสุ่ม WIP Collection เมื่อซื้อเครื่องดื่มครบ 150 บาทต่อบิล ✨

รอบนี้เราได้น้อง “บีนบอส” คาแรกเตอร์เพื่อนคู่ใจวัยทำงาน น่ารักมากกก 🥹 แถมในกล่องยังมีชิ้นส่วนให้ประกอบ การ์ด และสติกเกอร์ให้ตกแต่งเองด้วย

ใครสายสะสมต้องถูกใจ เพราะมีให้ลุ้นหลายแบบ และยังมี Secret Character ซ่อนอยู่ด้วย 👀

📍ร่วมสนุกได้ตั้งแต่ 13–21 มิถุนายน
🎁 รับฟรี! กล่องสุ่ม WIP Collection 1 กล่อง
☕️ เมื่อซื้อเครื่องดื่มครบ 150 บาทต่อบิล

ที่ ZUS Coffee ทุกสาขา หรือสั่งผ่าน ZUS App ได้เลย

#zuscoffee #zuscoffeeth #ZUSWIP #ZUSWorkinProgress
",https://drive.google.com/drive/folders/1D3tANNWm2exQMtcKl8e35bbGIGwbkDhf,,-1.29 เพิ่ม text 69 ตรงช่วงเวลา แก้แล้วผ่านเลยค่ะ,https://drive.google.com/drive/folders/1D3tANNWm2exQMtcKl8e35bbGIGwbkDhf,,ผ่าน,,,,"TikTok Video: https://vt.tiktok.com/ZSQnmMJf3/
IG Reels: https://www.instagram.com/reel/DZuiFFfs7Mq/
IG Post: https://www.instagram.com/reel/DZuiFFfs7Mq/",#Z8mukOVDF67s05EtrczPbf5CHBsYbvANTr/9sKk3hSFegGOsmCwoWcGmRubeiz8=,"1,354",94,42,16,4,117,1,0,0,0,0,
31,,bbeembenja,https://www.tiktok.com/@bbeembenja,"21,900","2,110",12,11,0,1.6,TRUE,FALSE,,"สาขาวานิช เพลส อารีย์
9 มิ.ย. 69 - 12:00",,,,,,,,,,,-,-,,,,,,,,,,,,
32,Done,alicewonderland_d,https://www.tiktok.com/@alicewonderland_d,"23,100","3,583",47,42,1,4,TRUE,FALSE,TRUE,"สาขา Central พระราม 9
9 มิ.ย. 69 - 13:00","แค่ 150฿ ก็จุ่มน้อนได้ ZUS BUDDY WIP Collection @ZUS COFFEE® Thailand 

#zuscoffee #zuscoffeeth #ZUSWIP #ZUSWorkInProgress",https://drive.google.com/drive/folders/1fEbruFvDQVe16q8WJtW6_dCbX5vXo1xW,,0.12 เอารูปจากบรีฟออกค่ะ,https://drive.google.com/drive/folders/1fEbruFvDQVe16q8WJtW6_dCbX5vXo1xW,ผ่าน,0.23 ใส่ ปี 69 เพิ่มใน text ค่ะ แก้แล้วผ่านค่ะ,,,,"TikTok Video: https://vt.tiktok.com/ZSQuMNW6s/
IG Reels: https://www.instagram.com/reel/DZgz6IlTwfg/
IG Post: https://www.instagram.com/p/DZg2NcSE1wW/
IG Story: https://www.instagram.com/stories/alice_theranan/3918370998903027921",TikTok Video: #/DQJPFNjKh6twSaKy9JYiaNdy5CW7FbcayCAAmOEAoB8qSP7AR8U5YdygiBXqOM=,"3,206",16,1,3,0,333,10,0,0,0,0,
33,Done,boobaiiyook,http://www.tiktok.com/@boobaiiyook,"21,300","5,308",116,56,10,50,TRUE,FALSE,TRUE,"สาขา Central พระราม 9
9 มิ.ย. 69 - 18:00","แค่จะซื้อกาแฟ สรุปมานั่งลุ้นกล่องสุ่มแทน
ZUS Coffee เค้ามีกล่องสุ่ม WIP Collection ด้วย น่ารักมากกกก!
ซื้อเครื่องดื่มครบ 150 บาทต่อบิล รับฟรีกล่องสุ่ม 1 กล่องเลย ✨

เราได้ตัวนี้มา น่ารักจนต้องเอามาตั้งโต๊ะทำงาน 🥹💖

📲 สั่งผ่าน ZUS App ได้ทั้ง Pick Up และ Delivery
📍ร่วมรายการทุกสาขา
📅 13-21 June เท่านั้น
#zuscoffee #zuscoffeeth #ZUSWIP #ZUSWorkInProgress",https://drive.google.com/drive/folders/17qEEnN5QwyC_2S4cb6FD6d4MXWQKGeYM,,"ผ่าน
(ตอนลงใส่เพลงค่ะ)",,,,,,,"TikTok Video: https://vt.tiktok.com/ZSQfVqNuy/
IG Reels: https://www.instagram.com/reel/DZc29SDPGY8/
IG Post: https://www.instagram.com/p/DZc3o2vj4mX/
IG Story: https://www.instagram.com/stories/baiiyook_/3917248527743300754",TikTok Video: #ZdH6jt8dqQUVJuwabe6PCrPlXCfITnHzTfncbdJvfd+7MkQpUx9zdzlP9Wx2m28=,403,23,15,5,0,"1,230",22,0,0,0,0,
34,,acafeinmemories,https://www.tiktok.com/@acafeinmemories,"1,147","1,147",857,821,35,0.3,TRUE,FALSE,,- -,,,,,,,,,,,-,-,,,,,,,,,,,,
35,Done,ducky.jesse,https://www.tiktok.com/@ducky.jesse,"36,600","36,600",1311,1126,180,5,TRUE,FALSE,TRUE,"สาขา Central พระราม 9
8 มิ.ย. 69 - 15:00","แค่ซื้อเครื่องดื่มที่ ZUS COFFEE ครบ 150 บาทต่อบิล ก็รับฟรี! ไปเลยกับกล่องสุ่ม WIP Collection 1 กล่อง ไหนใครได้แล้วบ้างมาอวดกันด้วยน้าาาา @zuscoffee.th
#zuscoffee #zuscoffeeth #ZUSWIP #ZUSWorkInProgress",https://drive.google.com/drive/folders/1WyBFree66V6eeogKSiR6eyBYJWJlxaSF,ผ่าน,ผ่าน,,,,,,,"TikTok Video: https://vt.tiktok.com/ZSQfNsGSo/
IG Reels: https://www.instagram.com/reel/DZccW-SS5Lo/
IG Post: https://www.instagram.com/p/DZcNj8mEmtO/
IG Story: https://www.instagram.com/stories/babyjesse.ducky/3917133620716948899",TikTok Video: #cQQDbIS2mNHGWCNORqxSF4IhfbZvkkIsfcz5+SIepj2JLRw8UVwDahSLvcteIC4=,"2,584",182,14,3,3,"8,777",24,10,2,0,0,
36,Done,sommickez,https://www.tiktok.com/@sommickez,"17,400","17,400",1771,1759,11,1,TRUE,FALSE,TRUE,"สาขาบ้านก้ามปู อโศก
14 มิ.ย. 69 - 14:00","จุ่มกล่องสุ่มครั้งแรกก็ได้น้องที่เหมือนตัวเองซะงั้น 🥹💙
Frappe Fren = นั่งหน้าคอมทั้งวัน งานล้นโต๊ะ แต่ยังสู้ชีวิตต่อ 😂
วันนี้จับคู่กับ Matcha Latte Frappe และ Iced Buttercream Matcha อร่อยทั้งสองแก้วเลย 🍵✨
ใครเป็นสายมัทฉะและสายกล่องสุ่ม ต้องไปลองแล้วที่ ZUS Coffee!

#zuscoffee #zuscoffeeth #ZUSWIP #ZUSWorkInProgress",https://drive.google.com/drive/folders/1VhG3nVpxbaQ4pyzGTWUsn0lkRzEJovJg,," -0.08 - 0.10 อาจจะขยับว้อยซ์ให้มันต่อกันได้มั้ยคะ
- 0.17-0.20 ตัดออกก็ได้ค่ะ แอบซ้ำกับประโยคก่อนหน้า
- 0.50 แก้ว้อยซ์ บัตเตอร์ครีมเป็นบัตเตอร์เคร็ม
- ตอนท้ายเพิ่มระยะเวลาโปรโมชั่น
- ใส่เพลง สนุกๆ",https://drive.google.com/drive/folders/1VhG3nVpxbaQ4pyzGTWUsn0lkRzEJovJg,,ผ่าน,,,,"TikTok Video: https://vt.tiktok.com/ZSQpTq98n/
IG Reels: https://www.instagram.com/reel/DZrxtUwPV64/
IG Post: https://www.instagram.com/p/DZry8RvD6ze/",#tjIoer55aHVPWGAwoC5isrzzpC0hiJWlr7E+bBOzO7pgzMVYBTvLyGeq94eyvu8=,135,8,3,0,1,467,8,0,1,0,0,
37,Done,oillonglaew,https://www.tiktok.com/@oillonglaew,"20,700","3,006",77,70,3,4,TRUE,FALSE,TRUE,"สาขา SCB Park Plaza
8 มิ.ย. 69 - 12:00","ZUS Coffee มีกล่องจุ่มด้วย!!! น่ารักมากกก 
สั่งเครื่องดื่มเมนูใดก็ได้ครบ 150ต่อบิล รับฟรีกล่องจุ่ม Work in Progress Collection (มี Secret) 
กิจกรรมมีตั้งแต่ 13-21 มิถุนายนนี้เท่านั้น 
#zuscoffee #zuscoffeeth #ZUSWIP #ZUSWorkInProgress #ZUS",https://drive.google.com/file/d/1uj__wPpt1XtksfASsBPV1H9ZjVqlh9On/view?usp=drivesdk,ผ่าน,- 0.38 ใส่ปี 69 เพิ่ม,https://drive.google.com/file/d/1gZe6I1wdcVf0r_NFnxuNS-KEluTebjPm/view?usp=drivesdk,เข้าลิงค์ไมได้ แจ้งอินฟลูฯแล้ว,ผ่าน,,,,"TikTok Video: https://vt.tiktok.com/ZSQHqJcM3/
IG Reels: https://www.instagram.com/reel/DZhz_2nBX7m/
IG Post: https://www.instagram.com/p/DZh6fGPAZE3/",#dpoPd1afriZCOmeesCZQiWLAyxZ5/7OYgmTa7Ma115Ny37rcENN7pGu8viIN+9c=,"2,950",153,1,3,2,178,4,0,0,0,0,
38,Done,pallyproud,https://www.tiktok.com/@pallyproud,"60,600","60,600",15449,15072,309,68,TRUE,FALSE,TRUE,"สาขา SCB Park Plaza
9 มิ.ย. 69 - 17.00","☕✨ กาแฟก็อร่อย กล่องสุ่มก็น่ารัก
แค่ซื้อเครื่องดื่มครบ 150 บาท /1บิล 
ฟรี 1 จุ่ม WIP Collection สุดcute
ตั้งแต่ 13-21 มิย. 2569 สั่งผ่าน ZUS APP
ได้ทั้ง Pick Up & Delivery 
📌 ZUS COFFEE ทุกสาขา
วันนี้เราจุ่มได้น้อง Blue Buddy  น่ารักมากกกก
ใครไปจุ่มแล้วยกมือขึ้น 
#zuscoffee #zuscoffeeth #ZUSWIP #ZUSWorkinProgress
แท็ค @zuscoffee.th สําหรับ IG (สําหรับลง IG story แท็ค @zuscoffeeth",https://drive.google.com/drive/folders/1zY4Txe_ILGDOLi8fytHRxWdkl8GbpOd9,,- 0.15-0.24 เพิ่มชื่อเครื่องดื่ม,https://drive.google.com/drive/folders/1zY4Txe_ILGDOLi8fytHRxWdkl8GbpOd9,ผ่าน,ผ่าน,,,,"TikTok Video: https://vt.tiktok.com/ZSQuhQHqj/
IG Reels: https://www.instagram.com/reel/DZgwHrdxR06/
IG Post: https://www.instagram.com/p/DZgyVI0kZrS/
IG Story: https://www.instagram.com/stories/pally_proud/3918348396449051773",TikTok Video: #pmgJ8l+bg+SYXaTqsgd0TwKTal6D3h9HpnGWex/RdSUJxcl55/3XChnEz3Sk5H0=,"1,542",127,51,10,15,"5,179",274,36,2,0,0,
39,Done,gowithlove0,https://www.tiktok.com/@gowithlove0,"6,935","6,935",931,873,39,19,TRUE,FALSE,TRUE,"สาขาวานิช เพลส อารีย์
9 มิ.ย. 69 - 14:00","ซื้อเครื่องดื่มครบ 150 บาทต่อบิล รับฟรี Work in Progress Collection 1 กล่อง ได้ทั้งความสดชื่นจาก Iced Matcha Latte และ Iced Caramel Macchiato แถมยังได้ลุ้นฟิกเกอร์สุดน่ารักกลับบ้านด้วย 🥹
คอลเลกชันนี้มีหลายคาแรกเตอร์ให้สะสม และยังมีตัว Secret ให้ลุ้นอีก ใครเป็นสายกล่องสุ่มห้ามพลาด!
#zuscoffee #zuscoffeeth #ZUSWIP #ZUSWorkInProgress",https://drive.google.com/drive/folders/1QaI0l3F6XRzqable--zPx12Qlj4lzlHX,,ผ่าน,,,,,,,"TikTok Video: https://vt.tiktok.com/ZSQfrMuLW/
IG Reels: https://www.instagram.com/reel/DZcc4G6zGWo/
IG Post: https://www.instagram.com/p/DZccvILk39T/
IG Story: https://www.instagram.com/p/DZccvILk39T/",TikTok Video: #yKc0bOIrC/kq4YTghKq0ZjyAVQJfmbUvN1ZgkocGloWxIU9Dr/T3qzZAEjTD8Lg=,246,24,7,0,2,"7,384",41,6,3,0,0,
40,,sai.chill_,https://www.tiktok.com/@sai.chill_,"3,483","3,483",1256,1231,24,1,TRUE,FALSE,,- -,,,,,,,,,,,-,-,,,,,,,,,,,,
41,,reanhipp_o,https://www.tiktok.com/@reanhipp_o,"48,700",485,35,34,0,1,TRUE,FALSE,,- -,,,,,,,,,,,-,-,,,,,,,,,,,,
42,Done,nannieeii,https://www.tiktok.com/@nannieeii,"3,608","3,608",1279,1262,15,2,TRUE,FALSE,TRUE,"สาขา Central พระราม 9
9 มิ.ย. 69 - 20:00","จุ่ม ZUS BUDDY collection work in progress กับ ZUS Coffee!🍪👀

แค่ซื้อเครื่องดื่มครบ 150.-/บิล
รับสิทธิ์สุ่มฟรี💁🏻‍♂️✨

📍ZUS Coffee ทุกสาขา
ตั้งแต่ 13 มิถุนายน 69 - 21 มิถุนายน 69 เท่านั้น!",https://drive.google.com/drive/folders/1rlMRiisMy31Ejj2gLMZx9EQkfAYY1ZA-,,ผ่าน,,,,,,,"TikTok Video: https://vt.tiktok.com/ZSQf2n9Co/
IG Reels: https://www.instagram.com/reel/DZcXyGvtslF/
IG Post: https://www.instagram.com/p/DZcOVNemYO-/
IG Story: https://www.instagram.com/stories/nannieeii/3917063867051002197",TikTok Video: #EfDsXIakT2RJIg4xOD/hcHUpki6HcthttWK1MBCxbH8IDnDrfAM2ZIsboi01ZLo=,"1,896",144,2,5,0,360,15,0,1,0,0,
43,Done,miss.marie39,https://www.tiktok.com/@miss.marie39,"15,800","4,030",183,125,52,5.7,TRUE,FALSE,TRUE,"สาขา Central พระราม 9
13 มิ.ย. 69 - 18:00","เพื่อนๆรู้ยัง ซื้อเครื่องดื่ม ZUS COFFEE  ครบ 150.- รับฟรี กล่องสุ่ม WIP Collection 1 กล่อง 🫶🫶 ตั้งแต่ 13-21 มิถุนายน 2569  
#zuscoffee #zuscoffeeth #ZUSWIP #ZUSWorklnProgres",https://drive.google.com/drive/folders/11Ejva2axn5kGNJS669vVWtmxO_DGXDJb,,"0.35 เฟรปเป้ เฟรน Frappe Fren ค่ะ
ใส่เพลงสนุกๆ",https://drive.google.com/drive/folders/11Ejva2axn5kGNJS669vVWtmxO_DGXDJb,ผ่าน,ผ่าน,,,,"TikTok Video: https://vt.tiktok.com/ZSQt5pJLM/
IG Reels: https://www.instagram.com/reel/DZt-U-FStwi/
IG Post: https://www.instagram.com/p/DZuAdInEnKE/",#kQz6Pv3xc3gnjieJAekkwYDuCzy+i/Wt5+SjL0Jgfi+UE/07K9WtR/ZJ4rsVrcs=,"4,371",187,65,55,9,"10,500",73,53,30,0,0,
44,,graphic.review,https://www.tiktok.com/@graphic.review,"31,500","31,500",163,126,36,1,TRUE,FALSE,FALSE,- -,,,,,,,,,,,-,-,,,,,,,,,,,,
45,,grace.isgrace,https://www.tiktok.com/@grace.isgrace,"4,327","3,353",1570,1537,28,5,TRUE,FALSE,FALSE,- -,,,,,,,,,,,#N/A,#N/A,,,,,,,,,,,,
46,,jahismmm,https://www.tiktok.com/@jahismmm,"48,100","48,100",9400,9337,60,3,TRUE,FALSE,FALSE,- -,,,,,,,,,,,#N/A,#N/A,,,,,,,,,,,,
47,Done,ploy.yollada,https://www.tiktok.com/@ploy.yollada,"17,100","1,396",44,36,1,7,TRUE,FALSE,TRUE,"สาขา SCB Park Plaza 
13 มิ.ย. 69 - 14:00","Work in Progress Collection ซื้อเครื่องดื่มครบ 150.-/บิล รับ 1 จุ่มทันที! ที่ ZUS Coffee ทุกสาขา 13-21 มิ.ย. 69 นี้เท่านั้น! 

คอลเลคชั่นนี้น่ารักมาก น่าสะสมทุกตัวเลย 🫶🏻✨

#zuscoffee #zuscoffeeth #ZUSWIP #ZUSWorkInProgress",https://drive.google.com/file/d/1cEILRFIrpJxFzuY94GVbqJT83VXz3B04/view?usp=drivesdk,,ผ่าน,,,,,,,"TikTok Video: https://vt.tiktok.com/ZSQb9opmS/
IG Reels: https://www.instagram.com/reel/DZpunluzmhe/",#kzW+ljfiVE6lvLwy+nQcSYfHSLsyLe/0Vp4dzCyJHuwVfE/G0h4Fm5aWlJ41vto=,801,12,1,5,8,290,9,0,0,0,0,
48,Done,baby.aryn66,https://www.tiktok.com/@baby.aryn66,"6,078","6,079",6620,6174,396,50,TRUE,FALSE,TRUE,"สาขา Central พระราม 9
9 มิ.ย. 69 - 10:00","เป็นทั้งสายกาแฟ ☕ และสายจุ่ม
จะพลาดได้ยังไง! 🥹

รอบนี้แวะ ZUS Coffee แล้วว้าวมาก
เพราะมี Work in Progress Collection ให้ลุ้นด้วย

แค่ซื้อเครื่องดื่มครบ 150 บาท/บิล
ก็สามารถซื้อ WIP Collection ได้ 1 กล่อง ในราคา 150 บาท ✨

ใครไปลุ้นมาแล้วบ้าง?
ได้ตัวไหนกัน มาอวดกันหน่อยนะค้า 👇

#zuscoffee #zuscoffeeth #ZUSWIP #ZUSWorkInProgress",https://drive.google.com/drive/folders/1kdf3SzVKoasl_njfsDfY2i_fBJfEhXR3,ผ่าน,ผ่าน,,,,,,,"TikTok Video: https://vt.tiktok.com/ZSQtr4VPQ/
IG Reels: https://www.instagram.com/reel/DZsS6CxPLzz/
IG Post: https://www.instagram.com/p/DZt3e0Cn0QS/",#txePdHKLkazn4N6tq8u/j6MdJveOmvnkalu83+W+vDsnNpFtQOnBOhBZt46ZCdM=,"7,805",314,27,10,3,75,0,1,0,0,0,
49,,wilaipaireview,https://www.tiktok.com/@wilaipaireview,"12,600","12,600",27463,27023,420,20,TRUE,FALSE,FALSE,- -,,,,,,,,,,,-,-,,,,,,,,,,,,
50,Done,oilchanaporn,https://www.tiktok.com/@oilchanaporn,"4,506","4,506",1514,1398,92,24,TRUE,FALSE,TRUE,"สาขา Central พระราม 9
13 มิ.ย. 69 - 12:00","ทุกคนนน! ZUS Coffee มีกล่องสุ่มด้วย 🥹✨

ซื้อเครื่องดื่มครบ 150 บาทต่อบิล รับฟรี WIP Collection 1 กล่อง ลุ้นได้ทั้งคาแรกเตอร์ปกติและ Secret Character 👀

สายสะสม Art Toy หรือสายลุ้นแบบเรา ห้ามพลาดเลย!

📅 13 - 21 June 69
📍ร่วมรายการที่ ZUS Coffee ทุกสาขา

#ZUSCoffee #WIPCollection",https://drive.google.com/drive/folders/1n3XCs1SB6vynIT4pgvt9rXPpjEc7dVbu,,ผ่าน,,,,,,,"TikTok Video: https://vt.tiktok.com/ZSQgpgLe8/
IG Reels: https://www.instagram.com/reel/DZqwxZNJXp7/",#Gw2ZY3hSfi/LLlFrWmWYNMfrk9cvp3YggIonRNhEPG8GImZb2VX9edG4vo2Ol+w=,"1,203",111,49,32,11,185,5,0,0,0,0,
51,Done,toeytii_su,https://www.tiktok.com/@toeytii_su,"15,300","15,300",412,383,25,4,TRUE,FALSE,TRUE,"สาขา Central พระราม 9
9 มิ.ย. 69 - 18:00",ได้คอลใหม่มาเติมโต๊ะแล้วว น่ารักม๊ากกกก 💖 #zuscoffee #zuscoffeeth #ZUSWIP #ZUSWorkinProgress,https://drive.google.com/file/d/1fh9YZbxIeI-muUYaY-npAE2ftNsNpOwW/view?usp=drivesdk,,0.10 - เขียนผิด แก้ Work in progress ค่ะ,,,,,,,"TikTok Video: https://vt.tiktok.com/ZSQu4F7To/
IG Reels: https://www.instagram.com/reel/DZfSjepSpua/
IG Post: https://www.facebook.com/share/r/18TJdLnwx1/
IG Story: https://www.instagram.com/stories/baitoey_su/3918455254010714568",TikTok Video: #5gFF+3D0xlJMqXI7UCYf0U2NsWgp7brcpTXqNeDWjb8PtxTtiPHGe4PskXgUZTY=,440,23,0,2,0,"1,155",7,0,0,0,0,
52,Done,pat_inpactech,https://www.tiktok.com/@pat_inpactech,"12,800","10,129",203,193,3.4,6.2,TRUE,FALSE,TRUE,"สาขา Central พระราม 9
14 มิ.ย. 69 - 13:00","ซื้อกาแฟแถมกล่องสุ่มฟรีมีอยู่จริง! 🎉 วันนี้แวะมาเติมพลังที่ ZUS Coffee เลยกดสั่งเมนูพรีเมียมผ่าน ZUS App ไป 3 แก้วจุกๆ ทั้งสายบัตเตอร์ครีมนัวๆ และสเปเชียลตี้ฟรับเป้ พอสิริรวมยอดครบเงื่อนไขปุ๊บ บาริสต้ายื่นกล่องสุ่ม WIP Collection มาให้ลุ้นฟรีเลย! 😍 น้องๆ เป็น Art Toy คาแรกเตอร์ตลกปนน่ารักที่เห็นแล้วทัชใจคนทำงานอย่างเรามากกก ใครอยากได้ตัวไหน หรืออยากตามล่าหาตัว Secret รีบพุ่งตัวไปเล้ยยย!
​📱 แนะนำสั่งผ่าน ZUS App (ครบ 150.-/บิล รับฟรี 1 กล่อง)
📅 วันที่ 13 - 21 มิ.ย. 2569
📍 ZUS Coffee ทุกสาขา
​#zuscoffee #zuscoffeeth #ZUSWIP #ZUSWorkinProgress
@zuscoffee.th
",https://drive.google.com/file/d/1zj_3MtXs6coYP86W7JfS7zeKfgnBsPdq/view?usp=drivesdk,,"- 0.08 / 0.44  แก้ว้อยซ์ จาก ไวป์ คอลเลคชั่น เป็น วิป WIP คอลเล็กชั่น
-0.08 แก้ปี เป็น 2569 ค่ะ
-0.28 อ่านว่าบีน บอส ค่ะ",https://drive.google.com/file/d/1ZGS-NNPmKIHT4RZopY08HrkT7h9Hj4Ly/view?usp=drivesdk,"0.29 ลืมลบคำว่าใส่ช้อความ
",0.29 ลืมลบคำว่าใส่ช้อความ,,,,"TikTok Video: https://vt.tiktok.com/ZSQnSX5DT/
IG Reels: https://www.instagram.com/reel/DZuYtK0JjYy/
IG Post: https://www.instagram.com/p/DZupnd9E9qN/",#NZr5dVOvPx5P5cM6wDW3I132XcWtUdCL7j/kHgIvBr5JlEVYsM5PKxqKu27Ctn4=,"1,673",84,3,2,6,309,3,0,0,0,0,
53,,kewalee.f,https://www.tiktok.com/@kewalee.f,"8,663",365,16,15,1,0,TRUE,FALSE,FALSE,- -,,,,,,,,,,,#N/A,#N/A,,,,,,,,,,,,
54,Done,nnamsom_,https://www.tiktok.com/@nnamsom_,"10,600","10,600",5249,4920,321,8,TRUE,FALSE,TRUE,"สาขา Central พระราม 9
13 มิ.ย. 69 - 17:00",ตั้งใจมากิน Matcha แต่จุ่ม ได้ตัว Secret จาก ZUS Coffee มาเลยจ้า,https://drive.google.com/drive/folders/17mvN3cmXnK-BZZmwYKLjtcxgAeoF06FL,,"0.09 / 0.40 แก้ว้อย และ text จาก work in process เป็น work in progress ค่ะ
0.47 แก้ไขขนาดฟ้อนต์และปีให้เท่ากัน และสีเดียวกันค่ะ",https://drive.google.com/drive/folders/17mvN3cmXnK-BZZmwYKLjtcxgAeoF06FL,ผ่าน,ผ่าน,,,,"TikTok Video: https://vt.tiktok.com/ZSQtD74ch/
IG Reels: https://www.instagram.com/reel/DZt7mxCJwbZ/
IG Post: https://www.instagram.com/p/DZt8fbXiVdX/",#9WLreOiYg+9bdKea/4Ob9F7gyyjHxzydvIT4UzY6Ct+N1WlpxwDRF/u7DJY+ECo=,452,31,2,0,0,956,33,0,0,0,0,
