                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,,1,2,3,4,,5,,,6,7,8,,9,10,11,12,13,14,15,16,,,,17,18,,,,,,,,,,,,19,,,,
12,Done,bovy.watjanarat,https://www.tiktok.com/@bovy.watjanarat,"13,800",,,,,,TRUE,,TRUE,1,"SCB Park Plaza
27 มิ.ย. 69 - 11:00","Soothe Up The Day
เป็นความสดชื่นแบบดื่มง่าย ๆ ระหว่างวัน

ใครอยากสั่งก็สั่งได้ง่าย ๆ ผ่าน ZUS App ทั้ง Pick Up และ Delivery

โปรโมชั่นนี้มีที่ ZUS Coffee ทุกสาขา
ตั้งแต่ 1 - 31 กรกฎาคม เท่านั้นน้าา
#zuscoffee #zuscoffeeth
@zuscoffee.th",https://drive.google.com/drive/folders/19C12K3-XEtxf1vO_8gy0CHvisMl8kf54,0.11-0.14 - สอบถามทางแบรนด์ว่าฟุตจาก AI ใช้ได้ไหม,ผ่าน,,,,,,,"TikTok Video: https://vt.tiktok.com/ZSC5PYH2H/
IG Reels: https://www.instagram.com/reel/DaNfaYpz9mW/
IG Post: https://www.instagram.com/p/DaNmWjzE3pu/
IG Story: https://www.instagram.com/stories/bowie_watjanarat/3930967196684233855",Gen Code (TikTok): #tweScXyuH5Y7Dktf+GsKSNxbINHU472e61K6GIWwbirn6MoPPd7rxVM/8oUsh+4=,654,70,13,2,6,"3,511",263,42,0,0,0,,,,,
98,,papabanbanfamily,https://www.tiktok.com/@papabanbanfamily,"14,800",,,,,,TRUE,,,1,"SCB Park Plaza
27 มิ.ย. 69 - 11:00",,,,,,,,,,,,,-,-,-,-,-,-,-,-,,-,-,,,,,
13,Done,panutdapop,https://www.tiktok.com/@panutdapop,"1,460",,,,,,TRUE,,TRUE,1,"Central พระราม 9
27 มิ.ย. 69 - 12:00","Zus Coffee ออกโปรนี้ถูกใจสาวออฟฟิศสุดๆ ☕💙 ได้ดื่มเครื่องดื่มอร่อยๆ แถมได้ยาดมมังกรทองแล้วก็เคสน่ารักๆอีก ต้องรีบไปซื้อละๆๆๆ 😘✨
#zuscoffee #zuscoffeeth
@zuscoffee.th",https://drive.google.com/drive/folders/1aiTj0aYaDwYeRrKSlvdgnZT95G0CBK7k,0.09 - สะกดว่า soothe up the day แทนค่า,0.09 - สะกดว่า soothe up the day แทนค่า, https://drive.google.com/drive/folders/1aiTj0aYaDwYeRrKSlvdgnZT95G0CBK7k,ผ่าน,ผ่่าน,,,,"TikTok Video: https://vt.tiktok.com/ZSCgvVcpK/
IG Reels: https://www.instagram.com/reel/DaT69iRSIV8/
IG Post: https://www.instagram.com/p/DaU_QGDEpmK/
IG Story: https://www.instagram.com/p/DaU_QGDEpmK/",Gen Code (TikTok): #bNEnqOSpAyyaTQrfNttdIakfXxIy01hRLgsdCYLZcnUCLi/k4kYA++OLkBa9dkk=,"2,800",103,4,15,10,"3,697",50,1,2,0,0,,,,,
14,Done,numintjubu,https://www.tiktok.com/@numintjubu,"10,100",,,,,,TRUE,,TRUE,1,"Central พระราม 9
28 มิ.ย. 69 - 11:00","ฉีกกฎวงการมาก! เมื่อ @zuscoffee.th คอลแลปกับยาดมมังกรทอง ในแคมเปญ ""Soothe Up The Day"" สดชื่นคูณสองแบบโคตรลงตัว! ✨💖

🌴 2 เมนู Coconut Series ต้องลอง!
 Coconut มัทฉะลาเต้: มัทฉะเข้มข้น ผสมมะพร้าวหอมนัว
 Coconut อเมริกาโน่: หวานธรรมชาติจากน้ำมะพร้าว ไม่ขมปี๋ ดื่มง่ายมาก

💥 รับฟรี! เคสพร้อมยาดมมังกรทองสุดคิ้วท์

✨แค่สั่งเครื่องดื่มอะไรก็ได้ครบ 150.-/บิล ผ่าน ZUS App (ได้ทั้ง Pick up & Delivery) รีบเลยของมีจำนวนจำกัด!

🗓️ 1 - 31 ก.ค. 2569
📍 ZUS Coffee ทุกสาขา

#zuscoffee #zuscoffeeth",https://drive.google.com/drive/folders/1dvm8LgQvKPBs_G5cfkZEcJRksf_2gMbe,"0.06 - เอาโปสเตอร์แคมเปญ Soothe Up The Day ตอน 0.13 มาใส่ตอนนี้แทน
0.24 - Coconut Matcha Latte ขอเขียนแบบนี้
0.31 - Coconut Americano ขอเขียนแบบนี้","0.06 - เอาโปสเตอร์แคมเปญ Soothe Up The Day ตอน 0.13 มาใส่ตอนนี้แทน
0.24 - Coconut Matcha Latte ขอเขียนแบบนี้
0.31 - Coconut Americano ขอเขียนแบบนี้",https://drive.google.com/drive/folders/1dvm8LgQvKPBs_G5cfkZEcJRksf_2gMbe,ผ่าน,ผ่าน,,,,"TikTok Video: https://vt.tiktok.com/ZSC41xvRf/
IG Reels: https://www.instagram.com/reel/DaVUWMKB1C5/
IG Post: https://www.instagram.com/reel/DaVUWMKB1C5/
IG Story: https://www.instagram.com/stories/numintjubu/3933147207351533205",Gen Code (TikTok): #RJzhl6ovoH02O3ny9v+T0KLsZ4D9OakIBXv4Xbygrw66R9y9Gc3W9AH5yzvs97Q=,"2,073",19,0,10,3,123,4,0,0,0,0,,,,,
105,,gaga.rpu,https://www.tiktok.com/@gaga.rpu,"9,921",,,,,,TRUE,,,1,"Vanit Place อารีย์
27 มิ.ย. 69 - 14:00",,,,,,,,,,,,,-,-,-,-,-,-,-,-,,-,-,,,,,
106,,nuwaennakakol,https://www.tiktok.com/@nuwaennakakol,"21,800",,,,,,TRUE,,,1,"Central พระราม 9
27 มิ.ย. 69 - 13:00",,,,,,,,,,,,,-,-,-,-,-,-,-,-,,-,-,,,,,
109,,beam.ntkd,https://www.tiktok.com/@beam.ntkd,"5,890",,,,,,TRUE,,,1,"Vanit Place อารีย์
27 มิ.ย. 69 - 12:00",,,,,,,,,,,,,"1,074",7,0,0,0,290,3,0,,-,-,,,,,
15,Done,finfirstz,https://www.tiktok.com/@finfirstz,"10,800",,,,,,TRUE,,TRUE,1,"Central พระราม 9
27 มิ.ย. 69 - 11:00",สายคนชอบพกยาดมห้ามพลาด ! เพราะตอนนี้ ZUS COFFEE X Collab ยาดม แล้วนะ 💙,https://drive.google.com/file/d/19gOdqnWOMTXXa2-xDZQ2RWQcMSfqGISf/view?usp=drivesdk,"0.01 - ZUS x อ้วยอันโอสถ
0.04 - พูดว่า ZUS Coffee คอลแลปกับอ้วยอันโอสถ
0.20 - ออกเสียงว่า บัตเตอร์-เคร็ม","0.01 - ZUS x อ้วยอันโอสถ
0.04 - พูดว่า ZUS Coffee คอลแลปกับอ้วยอันโอสถ
0.20 - ออกเสียงว่า บัตเตอร์-เคร็ม",https://drive.google.com/file/d/1bYRJhqrLEWezQdEjpdBJeD_P2lqcC8Op/view?usp=drivesdk,ผ่าน,ผ่าน,,,,"TikTok Video: https://vt.tiktok.com/ZSCvTfVuf/
IG Reels: https://www.instagram.com/reel/DafoZtNz0n8/
IG Post: https://www.instagram.com/p/DafpWRfEzLq/
IG Story: https://www.instagram.com/stories/finfirstkikiz/3936049417979903870",Gen Code (TikTok): #6yDscY6nI82PS2e2CuLafH7rgEqX0MNSnlS6hlFQS0SkaF0E3KbSxlo2/dMNHm8=,546,69,46,7,6,427,25,9,3,0,0,,,,,
16,Done,ji.jitipas,https://www.tiktok.com/@ji.jitipas,"28,700",,,,,,TRUE,,TRUE,1,"Central พระราม 9
28 มิ.ย. 69 - 17:00","""Zus Coffee ออกโปรนี้ถูกใจสาวออฟฟิศสุดๆ ☕💙 ได้ดื่มเครื่องดื่มอร่อยๆ แถมได้ยาดมมังกรทองแล้วก็เคสน่ารักๆอีก ต้องรีบไปซื้อละๆๆๆ 😘✨
s@zuscoffee.th""",https://drive.google.com/file/d/1wHbjNkYfffVQ4n23-uA8GOrGN38VZYe_/view?usp=drive_link,"0.02 - ออกเสียงว่า ซุส
0.49 - ยาดมมังกรทอง
0.52 - เพิ่ม ตั้งแต่ วันนี้-31 ก.ค. 69","0.02 - ออกเสียงว่า ซุส
0.09 - ตัดช่วงที่บอกว่ามีฉลอง 20 สาขาออก
0.49 - ยาดมมังกรทอง
0.52 - เพิ่ม ตั้งแต่ วันนี้-31 ก.ค. 69
ตอนลงใส่เพลงเพิ่มหน่อยค่ะ",https://drive.google.com/file/d/1Nne_44WboJe_Y_y-u3CMgOUpGepoTGHr/view?usp=sharing,ผ่าน,ผ่าน ตอนลงใส่เพลงเพิ่มหน่อยค่ะ ,,,,"TikTok Video: https://vt.tiktok.com/ZSCE4FyDj/
IG Reels : https://www.instagram.com/reel/DakIHTqS_L-/?igsh=MW1keGx5eHFwanNrdg==",Gen Code (TikTok): #5o6dcnWYjscDXekVocjhCWjPnQjI7yTBsUSbMlBah4OrcoRNDa04zO2NqtEvWuw=,"14,756",104,1,1,1,983,17,0,1,0,0,,,,,
17,Done,plenggtn._,https://www.tiktok.com/@plenggtn._,"32,600",,,,,,TRUE,,TRUE,1,"Central พระราม 9
27 มิ.ย. 69 - 12:00","ชวนเพื่อนมาเดต❌ อยากมาทำกิจกรรมลุ้นของรางวัล ✅

#zuscoffee #zuscoffeeth",https://drive.google.com/file/d/1ftkLxWj4RQdgjbgAGYU6k57tfay-7iAO/view?usp=drivesdk,"0.17 - ใช้คำนี้ ZUS Coffee Coconut Series แทน ZUS Coffee New Menu ค่าา ฝากแก้ทั้ง Voice + Text นะค้า
0.18 - ออกเสียง อ้วยอันโอสถ ผิดค่า ต้องเป็น สถ ไม่ใช่ รส","0.17 - ใช้คำนี้ ZUS Coffee Coconut Series แทน ZUS Coffee New Menu ค่าา ฝากแก้ทั้ง Voice + Text นะค้า
0.18 - ออกเสียง อ้วยอันโอสถ ผิดค่า ต้องเป็น สถ ไม่ใช่ รส",https://drive.google.com/file/d/1i6MR9N_8Bv6tFcgnmSrM9jab0JIN2cHF/view?usp=drivesdk,ผ่าน,ผ่าน,,,,"TikTok Video: https://vt.tiktok.com/ZSCgCn4c1/
IG Reels: https://www.instagram.com/reel/DaUazDxJoUO/
IG Post: https://www.instagram.com/p/DaUY6xGiZbr/
IG Story: https://drive.google.com/file/d/1o8kCyKtOHdeE_tb5wnlOVtx37y9aV41h/view",Gen Code (TikTok): #o8kOiMutx/mBardtNDONjCtuYlwk11doaE5u00a6EtvOL6YpJDCVKEIWsOgj1Go=,308,27,0,0,0,"1,443",3,3,2,0,0,,,,,
18,Done,nambabyyoda,https://www.tiktok.com/@nambabyyoda,"154,800",,,,,,TRUE,,TRUE,1,"Vanit Place อารีย์
28 มิ.ย. 69 - 16:00","ง่วง ๆ แบบนี้ต้องเดินเข้าร้าน ZUS Coffee ทันที! 🤩 

เพราะตอนนี้ ZUS Coffee x ยาดมตรามังกรทอง มีแคมเปญสุดพิเศษ ""Soothe Up The Day"" 💙 
แค่จัดเครื่องดื่ม Coconut Series รสชาติหอม นัว ละมุน มะพร้าวแบบตะโกน หรือเมนูไหนก็ได้ครบ 150.- ต่อบิล รับฟรี! เคสสีฟ้าพร้อมยาดมตรามังกรทอง 1 อันไปเลยคิ้วท์ ๆ (ของมีจำนวนจำกัดนะ)

📱 สั่งผ่าน ZUS App ได้เลยทั้ง Pick up และ Delivery ที่ ZUS Coffee ทุกสาขา ตั้งแต่วันที่ 1 - 31 July 2569 นี้จ้า!

#zuscoffee #zuscoffeeth",https://drive.google.com/file/d/1COWU6xDvoB9WCtsZ567bs-u006EjfF_N/view?usp=drivesdk,ผ่าน,ผ่าน,,,,,,,"TikTok Video: https://vt.tiktok.com/ZSC56vR8R/
IG Reels: https://www.instagram.com/reel/DaNavfdP3eX/
IG Post: https://www.instagram.com/p/DaNbILOD6Lr/
IG Story: https://www.instagram.com/stories/nnamncha/3930918060110602518",Gen Code (TikTok): #iLeZRl401DA0gQIL0uwInbFsx8jixVhXn2JBjgEIowEsYCPE+8xEP2cfCy+jVkk=,499,17,1,5,0,721,13,0,0,0,0,,,,,
119,,huntermamadear,https://www.tiktok.com/@huntermamadear,"10,000",,,,,,TRUE,,,1,"SCB Park Plaza
28 มิ.ย. 69 - 12:00",,,,,,,,,,,,,-,-,-,-,-,-,-,-,,-,-,,,,,
19,Done,pppakbunggg,https://www.tiktok.com/@pppakbunggg,"12,400",,,,,,TRUE,,TRUE,1,"Central พระราม 9
28 มิ.ย. 69 - 13:00","เมื่อสองตัวแม่แห่งความสดชื่น 𝐙𝐔𝐒 𝐂𝐨𝐟𝐟𝐞𝐞 𝐗 อ้วยอันโอสถ มาคอลแลปกัน บอกเลยว่างานนี้ตื่นเต็มตา!! แล้วยังได้ 𝐒𝐨𝐨𝐭𝐡 𝐮𝐩 𝐭𝐡𝐞 𝐝𝐚𝐲 สูด - ซู้สสส์ - สุด - สดชื่น ไปกับเมนู 𝐂𝐨𝐜𝐨𝐧𝐮𝐭 𝐒𝐞𝐫𝐢𝐞𝐬🥥 ที่อร่อยสดชื่นจนเลือกไม่ถูก ✨
📍พิกัด ZUS Coffee ทุกสาขา
( 1 - 31 July 2026 นี้เท่านั้น🔥 )

#zuscoffee #zuscoffeeth #อ้วยอันโอสถ#อร่อยบอกต่อ #tiktokพากิน",https://drive.google.com/drive/folders/1y_Dv846kKfx7G1SIJj23pZnMsS9-YobZ,"0.06-0.10 ตัดออก เริ่มที่ ""ตอนนี้ ZUS Coffee ...""
0.24 - Soothe Up The Day เขียนแบบนี้","0.06-0.10 ตัดออก เริ่มที่ ""ตอนนี้ ZUS Coffee ...""
0.24 - Soothe Up The Day เขียนแบบนี้",https://drive.google.com/drive/folders/16RlsIggW1HZUIKzJbOQUkPckN1gysNaU,ผ่าน,ผ่าน,,,,"TikTok Video: https://vt.tiktok.com/ZSCuYw2K5/
IG Reels: https://www.instagram.com/reel/DaP7oIPTs87/
IG Post: https://www.instagram.com/reel/DaP7oIPTs87/
IG Story: https://www.instagram.com/stories/pppakbunggg/3931626876079161336",Gen Code (TikTok): #ThLs/kHX5ZtlD/0/en4jEBZdnAbNlNVpSxnzENK1xxZLIYN4yLFeQTQbIKY9DLo=,"5,093",18,4,18,8,512,9,0,2,0,0,,,,,
20,Done,ilikemilo.o,https://www.tiktok.com/@ilikemilo.o,"2,944",,,,,,TRUE,,TRUE,1,"Vanit Place อารีย์
28 มิ.ย. 69 - 15:00","นี่หละ โปรที่ถูกใจคนทำงานที่สูดดดดด👀✨ ไอเลิฟมากซื้อกาแฟแถมยาดม

#zuscoffee #zuscoffeeth #พนักงานออฟฟิศ #offlicelife #งานประจำ",https://drive.google.com/drive/folders/1vrwMvFWhURBsRySqWNSO5oJ3ZqyRq6Yi?usp=sharing,ผ่าน,ผ่าน,,,,,,,"TikTok Video: https://vt.tiktok.com/ZSCw9KwJ6/
IG Reels: https://www.instagram.com/reel/Daf0_97TghO/
IG Post: https://www.instagram.com/p/Daf2KYCk37W/
IG Story: https://www.instagram.com/stories/ilike.milo/3936104429468417301",Gen Code (TikTok): #azJXovjJHdAPGxXwuxbLAl5cAeJTHCIKID2NBhOCd6EN6gxNB1czidsi5sFM6NU=,338,23,4,4,1,541,23,0,5,0,0,,,,,
,,,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,095bank,-,-
,,,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannieeii,-,-
,,,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,parnnic,-,-
,,,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,pqngapq,-,-
,,,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,graphic.review,"TikTok Video: https://vt.tiktok.com/ZSCpRxBVQ/
IG Reels: https://www.instagram.com/reel/DaZeoqnSw2r/
IG Post: https://www.instagram.com/p/DaZpbMZkqRh/
IG Story: https://www.instagram.com/stories/arpowang/3934362456809833323",TikTok Video: #4r09FFfseDanJ5JyyMqdWPxcw5zqXeYD2yTB3lPmqqLxGO0+BLamswPbz/DTMLg=
,,,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,difla_darlene,-,-
,,,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,pimentoguy,-,-
,,,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,jidaaaa.a,-,-
,,,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,abouteating,-,-
,,,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,praifah.u,-,-
,,,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,ymieyamz,-,-
,,,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,pat_inpactech,-,-
,,,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,lifewithapple.s,-,-
,,,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,palmmilyy,-,-
,,,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,g.gienck,-,-
,,,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean.tita,-,-
,,,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,ninew.kwanchanok,-,-
,,,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,papabanbanfamily,-,-
,,,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,huntermamadear,-,-
,,,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,naninguy,-,-
,,,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,bbeembenja,-,-
,,,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,suasri.co,-,-
,,,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,jamjampeipei,-,-
,,,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,gaga.rpu,-,-
,,,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,enjoywithbear,-,-
,,,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,tuckiie_alynn_alan,-,-
,,,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,mayyyuan,"TikTok Video: https://vt.tiktok.com/ZSCg4t6xq/
IG Reels: https://www.instagram.com/reel/DaZVshJzi_x/
IG Post: https://www.instagram.com/p/DaZWCRGk4gm/
IG Story: https://www.instagram.com/stories/munmuangmay/3934274737371330082",TikTok Video: #2RyUJ4KsnGqMO3PXYY8igZzRNptV8gZh171wrU20AKbkZ0yRNOww7CLaqE7L2xI=
,,,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,jormorcute,"TikTok Video: https://vt.tiktok.com/ZSCuRBvVB/
IG Reels: https://www.instagram.com/reel/DaP2KZkTJiS/
IG Post: https://www.instagram.com/reel/DaP2KZkTJiS/
IG Story: https://www.instagram.com/stories/jormorcute/3931603358091930094",TikTok Video: #vdPt/zX7yfw1MB5y+/wY8Wsb2JbGDictUu8nofhUY9tyCxBT41JQsrH6HHSkFEM=
,,,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,oillonglaew,"TikTok Video: https://vt.tiktok.com/ZSCu4LB1L/
IG Reels: https://www.instagram.com/reel/DaQHbjZh_Cf/
IG Post: https://www.instagram.com/p/DaQQ69WAZ1H/
IG Story: https://www.instagram.com/reel/DaQHbjZh_Cf/",TikTok Video: #Q7lMZXX3bC1AcQtP0Sg9w5Sz1EOH5upELXzhL4IeWfXR11/ztUcGZWyss62FKLs=
,,,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,vousbeemvoyez,"TikTok Video: https://vt.tiktok.com/ZSCuyXoPY/
IG Reels: https://www.instagram.com/reel/DaPfKFYMMmg/
IG Post: https://www.instagram.com/p/DaQGMp4lB9R/
IG Story: https://www.instagram.com/stories/vousbeemvoyez/3931670371189823524",TikTok Video: #J84UP+tcmoIwSRVTfAxJ+FDlUNXzcJPhEYZ9L20NPCThkVQ7spegSXZWrhzLayE=
,,,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,babyyelly,-,-
,,,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,napawanj,-,-
,,,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,papabanbanfamily,-,-
,,,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,plenggtn._,"TikTok Video: https://vt.tiktok.com/ZSCgCn4c1/
IG Reels: https://www.instagram.com/reel/DaUazDxJoUO/
IG Post: https://www.instagram.com/p/DaUY6xGiZbr/
IG Story: https://drive.google.com/file/d/1o8kCyKtOHdeE_tb5wnlOVtx37y9aV41h/view",TikTok Video: #o8kOiMutx/mBardtNDONjCtuYlwk11doaE5u00a6EtvOL6YpJDCVKEIWsOgj1Go=
,,,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,jarurat.m,-,-
,,,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,mycookiehouse,-,-
,,,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,banbanandfamily,-,-
,,,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,withkaaaning,-,-
,,,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,foodjourneythai,-,-
,,,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,baitong_little_duck,"TikTok Video: https://vt.tiktok.com/ZSCuH44Xt/
IG Reels: https://www.instagram.com/reel/DaQK9DVqX5r/
IG Post: https://www.instagram.com/p/DaQMD55GM_e/
IG Story: https://www.instagram.com/stories/qmirana/3931692485621451513",TikTok Video: #xABxIgKwcK8j2oLfLASyLX4Xo4P6l+78SCJ/sU7h99qrNKPDFEjyKX/NdEs1m90=
,,,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,gortorrr,-,-
,,,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,oilchanaporn,-,-
,,,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,giftounsaimoo,-,-
,,,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,euayeve4,-,-
,,,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,mommypangg,-,-
,,,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,qcumber. co,-,-
,,,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,kimmyoiu,-,-
,,,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,thomas_suii,-,-
,,,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,cescsyfahbregas368,-,-
,,,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,pjsahutsaya,-,-
,,,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,foxtells_th,-,-
,,,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,goagain25,-,-
,,,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,gimjipingping,-,-
,,,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,mee.490,-,-
,,,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,nutdemo6,-,-
,,,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,iampetch,-,-
,,,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beam.ntkd,-,-
,,,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,doublefimph,-,-
,,,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,flukexway,"TikTok Video: https://vt.tiktok.com/ZSCaBeEg9/
IG Reels: https://www.instagram.com/reel/DaOp_eOzS_1/
IG Post: https://www.instagram.com/p/DaOqN78E1f3/
IG Story: https://www.instagram.com/p/DaOqN78E1f3/",TikTok Video: #QRWnmJfZQNDgSwt0hR9PyvY/WVqJ9A5TkMccibvHj5JO05F0+Ea5hQksFw35e8A=
,,,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,miss.marie39,-,-
,,,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,parichat.mukk,-,-
,,,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,dish.is.dietfood,-,-
,,,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,bovy.watjanarat,"TikTok Video: https://vt.tiktok.com/ZSC5PYH2H/
IG Reels: https://www.instagram.com/reel/DaNfaYpz9mW/
IG Post: https://www.instagram.com/p/DaNmWjzE3pu/
IG Story: https://www.instagram.com/stories/bowie_watjanarat/3930967196684233855",TikTok Video: #tweScXyuH5Y7Dktf+GsKSNxbINHU472e61K6GIWwbirn6MoPPd7rxVM/8oUsh+4=
,,,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,panutdapop,"TikTok Video: https://vt.tiktok.com/ZSCgvVcpK/
IG Reels: https://www.instagram.com/reel/DaT69iRSIV8/
IG Post: https://www.instagram.com/p/DaU_QGDEpmK/
IG Story: https://www.instagram.com/p/DaU_QGDEpmK/",-
,,,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,khunchom.__.p,"TikTok Video: https://vt.tiktok.com/ZSCCQwnrj/
IG Reels: https://www.instagram.com/reel/DaUXOJwSdWK/
IG Post: https://www.instagram.com/p/DaUXp1lknuA/
IG Story: https://www.instagram.com/stories/khunchom.__.p/3932874030454047729",TikTok Video: #5Q0NA54cKo+BcAYmP/3UGS0BkzeWH3B64BvLJeAYCvrVIBklGmmIJkakKGzvwzw=
,,,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,noinaaaa_99,-,-
,,,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,tu_story,-,-
